ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_CONCEPT	SOURCE_FORM	PARTIAL	PARTIALIDS	CLPA	CONCEPTICON_ID	GLOTTOLOG
150	Dianfang_Tujia	good	ʦʰa³⁵	tsʰ a ³⁵	46	good	cʰa35	a	96	c013 v130 t017	1035	nort2732
151	Boluo_Tujia	good	ʦʰo²¹	tsʰ o ²¹	46	good	cʰo21	a	96	c013 v042 t004	1035	sout2739
152	Tanxi_Tujia	good	ʦʰo³³	tsʰ o ³³	46	good	cʰo33	a	96	c013 v042 t013	1035	sout2739
153	Tasha_Tujia	green	ɕiŋ²⁴+ka⁵⁵	ɕ i ŋ ²⁴ k a ⁵⁵	47	green	ʆiŋ24-ka55	ac	97 98	c202 v191 c795 t008 c831 v130 t041	1425	nort2732
154	Duogu_Tujia	green	lu²¹+lu²¹+ti⁴⁴	l u ²¹ l u ²¹ t i ⁴⁴	48	green	lu21-lu21-ti44	bbd	99 99 100	c548 v027 t004 c548 v027 t004 c118 v191 t030	1425	nort2732
155	Dianfang_Tujia	green	lu³⁵+ka⁵⁵	l u ³⁵ k a ⁵⁵	48	green	lu35-ka55	bc	99 98	c548 v027 t017 c831 v130 t041	1425	nort2732
156	Boluo_Tujia	green	ɕi²¹	ɕ i ²¹	47	green	ʆi21	a	97	c202 v191 t004	1425	sout2739
157	Tanxi_Tujia	green	lu²¹	l u ²¹	48	green	lu21	b	99	c548 v027 t004	1425	sout2739
158	Tasha_Tujia	hair	sa²⁴+ʨʰi⁵⁵	s a ²⁴ tɕʰ i ⁵⁵	49	hair	sa24-ɕʰi55	cd	101 102	c087 v130 t008 c197 v191 t041	1040	nort2732
159	Duogu_Tujia	hair	sa²⁴+ʨʰi⁴⁴	s a ²⁴ tɕʰ i ⁴⁴	49	hair	sa24-ɕʰi44	cd	101 102	c087 v130 t008 c197 v191 t030	1040	nort2732
160	Dianfang_Tujia	hair	sa³⁵+ʨʰi⁵⁵	s a ³⁵ tɕʰ i ⁵⁵	49	hair	sa35-ɕʰi55	cd	101 102	c087 v130 t017 c197 v191 t041	1040	nort2732
161	Boluo_Tujia	hair	a²¹+bo⁵³+a²¹+so²¹	a ²¹ b o ⁵³ a ²¹ s o ²¹	49	hair	a21=bo53=a21=so21	abac	103 104 103 101	v130 t004 c254 v042 t037 v130 t004 c087 v042 t004	1040	sout2739
162	Tanxi_Tujia	hair	ʔa²¹+so²¹	ʔ a ²¹ s o ²¹	49	hair	ʔa21=so21	ac	103 101	c405 v130 t004 c087 v042 t004	1040	sout2739
163	Tasha_Tujia	hand	ʨi̯ɛ²⁴	tɕ j ɛ ²⁴	50	hand	ɕi̯ɛ24	b	105	c198 c564 v229 t008	1277	nort2732
164	Duogu_Tujia	hand	ʨie²⁴	tɕ i e ²⁴	50	hand	ɕie24	b	105	c198 v191 v200 t008	1277	nort2732
165	Dianfang_Tujia	hand	ʨe³⁵	tɕ e ³⁵	50	hand	ɕe35	b	105	c198 v200 t017	1277	nort2732
166	Boluo_Tujia	hand	a²¹+ʥie⁵³	a ²¹ dʑ i e ⁵³	50	hand	a21=ʓie53	ab	106 105	v130 t004 c195 v191 v200 t037	1277	sout2739
167	Tanxi_Tujia	hand	ʔa²¹+ʥe⁵⁵	ʔ a ²¹ dʑ e ⁵⁵	50	hand	ʔa21=ʓe55	ab	106 105	c405 v130 t004 c195 v200 t041	1277	sout2739
168	Tasha_Tujia	head	kʰa⁵⁵+tʰa⁵⁵	kʰ a ⁵⁵ tʰ a ⁵⁵	51	head	kʰa55-tʰa55	cd	107 108	c813 v130 t041 c136 v130 t041	1256	nort2732
169	Duogu_Tujia	head	kʰo⁵³+pa⁵³	kʰ o ⁵³ p a ⁵³	51	head	kʰo53-pa53	cd	107 108	c813 v042 t037 c288 v130 t037	1256	nort2732
170	Dianfang_Tujia	head	kʰo⁵⁵+pa⁵⁵	kʰ o ⁵⁵ p a ⁵⁵	51	head	kʰo55-pa55 ~ kʰo55-cʰo55	cd	107 108	c813 v042 t041 c288 v130 t041	1256	nort2732
171	Boluo_Tujia	head	a²¹+bo⁵³+bu²¹	a ²¹ b o ⁵³ b u ²¹	52	head	a21=bo53-bu21	abc	109 110 107	v130 t004 c254 v042 t037 c254 v027 t004	1256	sout2739
172	Tanxi_Tujia	head	ʔa²¹+bo⁵⁵	ʔ a ²¹ b o ⁵⁵	52	head	ʔa21=bo65	ab	109 110	c405 v130 t004 c254 v042 t041	1256	sout2739
173	Tasha_Tujia	hear	ɕi²¹	ɕ i ²¹	53	hear	ʆi21	c	111	c202 v191 t004	1408	nort2732
174	Duogu_Tujia	hear	zu²¹	z u ²¹	54	hear	zu21	c	111	c078 v027 t004	1408	nort2732
175	Dianfang_Tujia	hear	zu²¹	z u ²¹	54	hear	zu21	c	111	c078 v027 t004	1408	nort2732
176	Boluo_Tujia	hear	xo³³+zi³³	x o ³³ z i ³³	55	hear	xo33-zi33	ab	112 113	c772 v042 t013 c078 v191 t013	1408	sout2739
177	Tanxi_Tujia	hear	ħo³³+zi³³	ħ o ³³ z i ³³	55	hear	ħo33-zi33	db	114 113	c636 v042 t013 c078 v191 t013	1408	sout2739
178	Tasha_Tujia	heart	li⁵⁵+kʰu̯ɔ⁵⁵+lu̯ɔ⁵⁵	l i ⁵⁵ kʰ w ɔ ⁵⁵ l w ɔ ⁵⁵	56	heart	li55-kʰu̯ɔ55-lu̯ɔ55	cde	115 116 117	c548 v191 t041 c813 c457 v067 t041 c548 c457 v067 t041	1223	nort2732
179	Duogu_Tujia	heart	li⁵³+kʰo⁴⁴+lo⁴⁴	l i ⁵³ kʰ o ⁴⁴ l o ⁴⁴	56	heart	li53-kʰo44-lo44	cde	115 116 117	c548 v191 t037 c813 v042 t030 c548 v042 t030	1223	nort2732
180	Dianfang_Tujia	heart	li⁵⁵+kʰo⁵⁵+lo³⁵	l i ⁵⁵ kʰ o ⁵⁵ l o ³⁵	56	heart	li55-kʰo55-lo35	cde	115 116 117	c548 v191 t041 c813 v042 t041 c548 v042 t017	1223	nort2732
181	Boluo_Tujia	heart	tu¹³+sẽ³³	t u ¹³ s ẽ ∼ ³³	57	heart	tu13-sẽ33	ab	118 119	c118 v027 t020 c087 v201 m002 t013	1223	sout2739
182	Tanxi_Tujia	heart	li²¹+ŋa²¹	l i ²¹ ŋ a ²¹	56	heart	li21-ŋa21	cf	115 120	c548 v191 t004 c795 v130 t004	1223	sout2739
472	Tasha_Tujia	heavy	tu²¹	t u ²¹	154	heavy	tu21 ~ tu21-ci21	a	324	c118 v027 t004	1210	nort2732
473	Duogu_Tujia	heavy	tu⁵³	t u ⁵³	154	heavy	tu53	a	324	c118 v027 t037	1210	nort2732
474	Dianfang_Tujia	heavy	tu⁵⁵	t u ⁵⁵	154	heavy	tu55	a	324	c118 v027 t041	1210	nort2732
475	Boluo_Tujia	heavy	doʉ¹³	d o ʉ ¹³	154	heavy	doʉ13	a	324	c143 v042 v102 t020	1210	sout2739
476	Tanxi_Tujia	heavy	dʉ³⁵	d ʉ ³⁵	154	heavy	dʉ35	a	324	c143 v102 t017	1210	sout2739
183	Tasha_Tujia	horn	kʰɤ²¹	kʰ ɤ ²¹	58	horn	kʰɤ21	b	121	c813 v084 t004	1393	nort2732
184	Duogu_Tujia	horn	kʰɨe⁵³	kʰ ɨ e ⁵³	58	horn	kʰɨe53	b	121	c813 v116 v200 t037	1393	nort2732
185	Dianfang_Tujia	horn	kʰɨe⁵⁵	kʰ ɨ e ⁵⁵	58	horn	kʰɨe55	b	121	c813 v116 v200 t041	1393	nort2732
186	Boluo_Tujia	horn	a³³+kʰɨe³³	a ³³ kʰ ɨ e ³³	58	horn	a33=kʰɨe33	ab	122 121	v130 t013 c813 v116 v200 t013	1393	sout2739
187	Tanxi_Tujia	horn	ʔa³³+kʰɨe³³	ʔ a ³³ kʰ ɨ e ³³	58	horn	ʔa33=kʰɨe33	ab	122 121	c405 v130 t013 c813 v116 v200 t013	1393	sout2739
193	Tasha_Tujia	kill	pu²⁴	p u ²⁴	60	kill	pu24	b	124	c288 v027 t008	1417	nort2732
194	Duogu_Tujia	kill	pu²⁴	p u ²⁴	60	kill	pu24	b	124	c288 v027 t008	1417	nort2732
195	Dianfang_Tujia	kill	pu³⁵	p u ³⁵	60	kill	pu35	b	124	c288 v027 t017	1417	nort2732
196	Boluo_Tujia	kill	ɣɨe¹³	ɣ ɨ e ¹³	61	kill	ɣɨe13	a	125	c774 v116 v200 t020	1417	sout2739
197	Tanxi_Tujia	kill	ʔɨ¹³	ʔ ɨ ¹³	61	kill	ʔɨ13	a	125	c405 v116 t020	1417	sout2739
198	Duogu_Tujia	knee	ʨi²¹+tʰi²¹+kʰe⁵³+kai²⁴+kai²⁴	tɕ i ²¹ tʰ i ²¹ kʰ e ⁵³ k a i ²⁴ k a i ²⁴	62	knee	ɕi21=tʰi21-kʰe53-kai24-kai24	adeff	126 127 128 129 129	c198 v191 t004 c136 v191 t004 c813 v200 t037 c831 v130 v191 t008 c831 v130 v191 t008	1371	nort2732
199	Dianfang_Tujia	knee	ʨi²¹+tʰi²¹+kʰɨe⁵⁵	tɕ i ²¹ tʰ i ²¹ kʰ ɨ e ⁵⁵	62	knee	ɕi21=tʰi21-kʰɨe55	ade	126 127 128	c198 v191 t004 c136 v191 t004 c813 v116 v200 t041	1371	nort2732
200	Boluo_Tujia	knee	ʥi²¹+to²¹+ŋo¹³	dʑ i ²¹ t o ²¹ ŋ o ¹³	63	knee	ʓi21=to21-ŋo13	abc	126 130 131	c195 v191 t004 c118 v042 t004 c795 v042 t020	1371	sout2739
201	Tanxi_Tujia	knee	ʔa²¹+ʥi³⁵+po³³+lo³³	ʔ a ²¹ dʑ i ³⁵ p o ³³ l o ³³	64	knee	ʔa21=ʓi35=po33-lo33	gahi	132 126 133 134	c405 v130 t004 c195 v191 t017 c288 v042 t013 c548 v042 t013	1371	sout2739
202	Tasha_Tujia	know	xa²¹+zi²¹	x a ²¹ z i ²¹	65	know	xa21-zi21	bc	135 136	c772 v130 t004 c078 v191 t004	1410	nort2732
203	Duogu_Tujia	know	xau⁵³+ɕi⁴⁴	x a u ⁵³ ɕ i ⁴⁴	65	know	xau53-ʆi44	bc	135 136	c772 v130 v027 t037 c202 v191 t030	1410	nort2732
204	Dianfang_Tujia	know	xau⁵⁵+ɕi³⁵	x a u ⁵⁵ ɕ i ³⁵	65	know	xau55-ʆi35 ~ xa55-zi21	bc	135 136	c772 v130 v027 t041 c202 v191 t017	1410	nort2732
205	Boluo_Tujia	know	ɕie⁵³	ɕ i e ⁵³	66	know	ʆie53	a	137	c202 v191 v200 t037	1410	sout2739
206	Tanxi_Tujia	know	ɕe⁵⁵+ʦʰe⁵⁵	ɕ e ⁵⁵ tsʰ e ⁵⁵	66	know	ʆe55-cʰe55	ad	137 138	c202 v200 t041 c013 v200 t041	1410	sout2739
207	Tasha_Tujia	leaf	ɣɤ⁵⁵+tʰa⁵⁵	ɣ ɤ ⁵⁵ tʰ a ⁵⁵	67	leaf	ɣɤ55=tʰa55	bc	139 140	c774 v084 t041 c136 v130 t041	628	nort2732
208	Duogu_Tujia	leaf	ɣɨe⁵³+tʰa⁵³	ɣ ɨ e ⁵³ tʰ a ⁵³	67	leaf	ɣɨe53=tʰa53	bc	139 140	c774 v116 v200 t037 c136 v130 t037	628	nort2732
209	Dianfang_Tujia	leaf	ɣɨe⁵⁵+tʰa⁵⁵	ɣ ɨ e ⁵⁵ tʰ a ⁵⁵	67	leaf	ɣɨe55=tʰa55	bc	139 140	c774 v116 v200 t041 c136 v130 t041	628	nort2732
210	Boluo_Tujia	leaf	a³³+ɣɨe³³	a ³³ ɣ ɨ e ³³	68	leaf	a33=ɣɨe33	ab	141 139	v130 t013 c774 v116 v200 t013	628	sout2739
211	Tanxi_Tujia	leaf	ʔa²¹+ɣɨe²¹	ʔ a ²¹ ɣ ɨ e ²¹	68	leaf	ʔa21=ɣɨe21	ab	141 139	c405 v130 t004 c774 v116 v200 t004	628	sout2739
212	Tasha_Tujia	lie	pʰɤ²¹	pʰ ɤ ²¹	69	lie	pʰɤ21	d	142	c261 v084 t004	1411	nort2732
213	Duogu_Tujia	lie	nie²⁴+po⁴⁴	n i e ²⁴ p o ⁴⁴	70	lie	nie24-po44	bc	143 144	c105 v191 v200 t008 c288 v042 t030	1411	nort2732
214	Boluo_Tujia	lie	kʰaʉ¹³	kʰ a ʉ ¹³	71	lie	kʰaʉ13	a	145	c813 v130 v102 t020	1411	sout2739
215	Tasha_Tujia	liver	aŋ⁵⁵+a⁵⁵	a ŋ ⁵⁵ a ⁵⁵	72	liver	aŋ55-a55	bc	146 147	v130 c795 t041 v130 t041	1224	nort2732
216	Duogu_Tujia	liver	a⁵³+ŋai⁴⁴	a ⁵³ ŋ a i ⁴⁴	72	liver	a53-ŋai44	bc	146 147	v130 t037 c795 v130 v191 t030	1224	nort2732
217	Dianfang_Tujia	liver	ã⁵⁵+ŋa⁵⁵	ã ∼ ⁵⁵ ŋ a ⁵⁵	72	liver	ã55-ŋa55 ~ a55-ŋã55	bc	146 147	v147 m002 t041 c795 v130 t041	1224	nort2732
218	Boluo_Tujia	liver	kæ̃³³	k æ̃ ∼ ³³	-169	liver	kæ̃33	a	148	c831 v197 m002 t013	1224	sout2739
219	Tanxi_Tujia	liver	kã³³	k ã ∼ ³³	-170	liver	kã33	a	148	c831 v147 m002 t013	1224	sout2739
220	Tasha_Tujia	long	ɣɤ²¹	ɣ ɤ ²¹	73	long	ɣɤ21	a	149	c774 v084 t004	1203	nort2732
221	Duogu_Tujia	long	ɣɨe²¹	ɣ ɨ e ²¹	73	long	ɣɨe21	a	149	c774 v116 v200 t004	1203	nort2732
222	Dianfang_Tujia	long	ɣɨe²¹	ɣ ɨ e ²¹	73	long	ɣɨe21	a	149	c774 v116 v200 t004	1203	nort2732
223	Boluo_Tujia	long	ɣɨe¹³	ɣ ɨ e ¹³	73	long	ɣɨe13	a	149	c774 v116 v200 t020	1203	sout2739
224	Tanxi_Tujia	long	ɣɨe³⁵	ɣ ɨ e ³⁵	73	long	ɣɨe35	a	149	c774 v116 v200 t017	1203	sout2739
225	Tasha_Tujia	louse	si⁵⁵+si⁵⁵	s i ⁵⁵ s i ⁵⁵	74	louse	si55-si55	bb	150 150	c087 v191 t041 c087 v191 t041	1392	nort2732
226	Duogu_Tujia	louse	si⁵³+si⁴⁴	s i ⁵³ s i ⁴⁴	74	louse	si53-si44	bb	150 150	c087 v191 t037 c087 v191 t030	1392	nort2732
227	Dianfang_Tujia	louse	si⁵⁵+si⁵⁵	s i ⁵⁵ s i ⁵⁵	74	louse	si55-si55	bb	150 150	c087 v191 t041 c087 v191 t041	1392	nort2732
228	Boluo_Tujia	louse	a²¹+si⁵³+lũ³³	a ²¹ s i ⁵³ l ũ ∼ ³³	74	louse	a21=si53-lũ33	abc	151 150 152	v130 t004 c087 v191 t037 c548 v025 m002 t013	1392	sout2739
229	Tanxi_Tujia	louse	ʔa²¹+si⁵⁵	ʔ a ²¹ s i ⁵⁵	74	louse	ʔa21=si55	ab	151 150	c405 v130 t004 c087 v191 t041	1392	sout2739
230	Tasha_Tujia	man	ʦu̯ɔ⁵⁵+pa⁵⁵	ts w ɔ ⁵⁵ p a ⁵⁵	75	man	cu̯ɔ55=pa55	he	153 154	c015 c457 v067 t041 c288 v130 t041	1554	nort2732
231	Duogu_Tujia	man	no⁵³+pa⁴⁴+ʦe⁴⁴	n o ⁵³ p a ⁴⁴ ts e ⁴⁴	75	man	no53=pa44-ce44	def	155 154 156	c105 v042 t037 c288 v130 t030 c015 v200 t030	1554	nort2732
232	Dianfang_Tujia	man	no⁵⁵+pa⁵⁵	n o ⁵⁵ p a ⁵⁵	75	man	no55=pa55	de	155 154	c105 v042 t041 c288 v130 t041	1554	nort2732
233	Boluo_Tujia	man	a²¹+ko²¹+bie²¹	a ²¹ k o ²¹ b i e ²¹	76	man	a21=ko21-bie21	abc	157 158 159	v130 t004 c831 v042 t004 c254 v191 v200 t004	1554	sout2739
234	Tanxi_Tujia	man	ʔa²¹+ko²¹+be²¹+ŋɨ²¹	ʔ a ²¹ k o ²¹ b e ²¹ ŋ ɨ ²¹	76	man	ʔa21=ko21-be21-ŋɨ21	abcg	157 158 159 160	c405 v130 t004 c831 v042 t004 c254 v200 t004 c795 v116 t004	1554	sout2739
235	Tasha_Tujia	many	zi²¹	z i ²¹	77	many	zi21	a	161	c078 v191 t004	1198	nort2732
236	Duogu_Tujia	many	zi²¹	z i ²¹	77	many	zi21	a	161	c078 v191 t004	1198	nort2732
237	Dianfang_Tujia	many	zi²¹	z i ²¹	77	many	zi21	a	161	c078 v191 t004	1198	nort2732
238	Boluo_Tujia	many	zi⁴⁵	z i ⁴⁵	77	many	zi45	a	161	c078 v191 t033	1198	sout2739
239	Tanxi_Tujia	many	zi³⁵	z i ³⁵	77	many	zi35	a	161	c078 v191 t017	1198	sout2739
240	Tasha_Tujia	meat	si²¹	s i ²¹	78	meat	si21	a	162	c087 v191 t004	634	nort2732
241	Duogu_Tujia	meat	si²¹	s i ²¹	78	meat	si21	a	162	c087 v191 t004	634	nort2732
242	Dianfang_Tujia	meat	si²¹	s i ²¹	78	meat	si21	a	162	c087 v191 t004	634	nort2732
243	Boluo_Tujia	meat	si¹³	s i ¹³	78	meat	si13	a	162	c087 v191 t020	634	sout2739
244	Tanxi_Tujia	meat	si³⁵	s i ³⁵	78	meat	si35	a	162	c087 v191 t017	634	sout2739
245	Tasha_Tujia	moon	su²¹+su²¹	s u ²¹ s u ²¹	79	moon	su21-su21	cc	163 163	c087 v027 t004 c087 v027 t004	1313	nort2732
246	Duogu_Tujia	moon	su²¹+su²¹+kʰa²¹+ʨi̯e⁴⁴	s u ²¹ s u ²¹ kʰ a ²¹ tɕ j e ⁴⁴	79	moon	su21-su21-kʰa21-ɕi̯e44	ccde	163 163 164 165	c087 v027 t004 c087 v027 t004 c813 v130 t004 c198 c564 v200 t030	1313	nort2732
247	Dianfang_Tujia	moon	su²¹+su²¹	s u ²¹ s u ²¹	79	moon	su21-su21 ~ su21-su21-kʰa21-ʆe21	cc	163 163	c087 v027 t004 c087 v027 t004	1313	nort2732
248	Boluo_Tujia	moon	je²¹+liã⁴⁵	j e ²¹ l i ã ∼ ⁴⁵	-171	moon	ye21-liã45	ab	166 167	c564 v200 t004 c548 v191 v147 m002 t033	1313	sout2739
249	Tanxi_Tujia	moon	lo³⁵+ɕi⁵⁵+dʉ³⁵	l o ³⁵ ɕ i ⁵⁵ d ʉ ³⁵	80	moon	lo35-ʆi55-dʉ35	fgh	168 169 170	c548 v042 t017 c202 v191 t041 c143 v102 t017	1313	sout2739
250	Tasha_Tujia	mountain	kʰu⁵⁵+li̯ɛ⁵⁵	kʰ u ⁵⁵ l j ɛ ⁵⁵	81	mountain	kʰu55-li̯ɛ55	bd	171 172	c813 v027 t041 c548 c564 v229 t041	639	nort2732
251	Duogu_Tujia	mountain	kʰu⁵³+ʦa⁵³	kʰ u ⁵³ ts a ⁵³	81	mountain	kʰu53-ca53	bc	171 173	c813 v027 t037 c015 v130 t037	639	nort2732
252	Dianfang_Tujia	mountain	kʰu⁵⁵+ʦa⁵⁵	kʰ u ⁵⁵ ts a ⁵⁵	81	mountain	kʰu55-ca55 ~ kʰu55-le55	bc	171 173	c813 v027 t041 c015 v130 t041	639	nort2732
253	Boluo_Tujia	mountain	za⁵³+kʰa²¹	z a ⁵³ kʰ a ²¹	82	mountain	za53-kʰa21	ab	174 171	c078 v130 t037 c813 v130 t004	639	sout2739
254	Tanxi_Tujia	mountain	za⁵⁵	z a ⁵⁵	82	mountain	za55	a	174	c078 v130 t041	639	sout2739
255	Tasha_Tujia	mouth	ʦa²⁴+ʨʰi⁵⁵	ts a ²⁴ tɕʰ i ⁵⁵	83	mouth	ca24-ɕʰi55	cd	175 176	c015 v130 t008 c197 v191 t041	674	nort2732
256	Duogu_Tujia	mouth	ʦa²⁴+ʨʰi⁴⁴	ts a ²⁴ tɕʰ i ⁴⁴	83	mouth	ca24-ɕʰi44	cd	175 176	c015 v130 t008 c197 v191 t030	674	nort2732
257	Dianfang_Tujia	mouth	ʦa³⁵+ʨʰi⁵⁵	ts a ³⁵ tɕʰ i ⁵⁵	83	mouth	ca35-ɕʰi55	cd	175 176	c015 v130 t017 c197 v191 t041	674	nort2732
258	Boluo_Tujia	mouth	a²¹+ze²¹	a ²¹ z e ²¹	84	mouth	a21=ze21	ab	177 178	v130 t004 c078 v200 t004	674	sout2739
259	Tanxi_Tujia	mouth	ʔa²¹+ze²¹	ʔ a ²¹ z e ²¹	84	mouth	ʔa21=ze21	ab	177 178	c405 v130 t004 c078 v200 t004	674	sout2739
260	Duogu_Tujia	name	mĩ²¹+ʦi²⁴	m ĩ ∼ ²¹ ts i ²⁴	-172	name	mĩ21-ci24	bc	179 180	c239 v193 m002 t004 c015 v191 t008	1405	nort2732
261	Dianfang_Tujia	name	mĩ²¹+ʦi³⁵	m ĩ ∼ ²¹ ts i ³⁵	-173	name	mĩ21-ci35	bc	179 180	c239 v193 m002 t004 c015 v191 t017	1405	nort2732
262	Boluo_Tujia	name	nioʉ³³	n i o ʉ ³³	85	name	nioʉ33	a	181	c105 v191 v042 v102 t013	1405	sout2739
263	Tanxi_Tujia	name	niʉ³⁵+bo²¹	n i ʉ ³⁵ b o ²¹	85	name	niʉ35-bo21	ad	181 182	c105 v191 v102 t017 c254 v042 t004	1405	sout2739
477	Duogu_Tujia	near	ʦũ⁵³	ts ũ ∼ ⁵³	155	near	cũ53 ~ cũ44	c	325	c015 v025 m002 t037	1942	nort2732
478	Dianfang_Tujia	near	ʦũ⁵⁵	ts ũ ∼ ⁵⁵	155	near	cũ55	c	325	c015 v025 m002 t041	1942	nort2732
479	Boluo_Tujia	near	ɣoʉ²¹+ʣa²¹	ɣ o ʉ ²¹ dz a ²¹	156	near	ɣoʉ21=ʒa21	ab	326 327	c774 v042 v102 t004 c020 v130 t004	1942	sout2739
480	Tanxi_Tujia	near	ʔʉ¹³+ʣa³³	ʔ ʉ ¹³ dz a ³³	156	near	ʔʉ13=ʒa33	ab	326 327	c405 v102 t020 c020 v130 t013	1942	sout2739
264	Tasha_Tujia	neck	kʰɔŋ⁵⁵+ti⁵⁵	kʰ ɔ ŋ ⁵⁵ t i ⁵⁵	86	neck	kʰɔŋ55-ti55	cd	183 184	c813 v067 c795 t041 c118 v191 t041	1333	nort2732
265	Duogu_Tujia	neck	kʰũ⁴⁴+ti⁴⁴	kʰ ũ ∼ ⁴⁴ t i ⁴⁴	86	neck	kʰũ44-ti44	cd	183 184	c813 v025 m002 t030 c118 v191 t030	1333	nort2732
266	Dianfang_Tujia	neck	kʰũ⁵⁵+ti⁵⁵	kʰ ũ ∼ ⁵⁵ t i ⁵⁵	86	neck	kʰũ55-ti55	cd	183 184	c813 v025 m002 t041 c118 v191 t041	1333	nort2732
267	Boluo_Tujia	neck	kua¹³+la⁵³	k u a ¹³ l a ⁵³	87	neck	kua13-la53	ab	185 186	c831 v027 v130 t020 c548 v130 t037	1333	sout2739
268	Tanxi_Tujia	neck	gua²¹+la⁵⁵	g u a ²¹ l a ⁵⁵	87	neck	gua21-la55	ab	185 186	c824 v027 v130 t004 c548 v130 t041	1333	sout2739
269	Tasha_Tujia	new	a²⁴+ɕi⁵⁵	a ²⁴ ɕ i ⁵⁵	88	new	a24=ʆi55	ab	187 188	v130 t008 c202 v191 t041	1231	nort2732
270	Duogu_Tujia	new	ɣa²⁴+si⁴⁴	ɣ a ²⁴ s i ⁴⁴	88	new	ɣa24=si44	ab	187 188	c774 v130 t008 c087 v191 t030	1231	nort2732
271	Dianfang_Tujia	new	a³⁵+si³⁵	a ³⁵ s i ³⁵	88	new	a35=si35	ab	187 188	v130 t017 c087 v191 t017	1231	nort2732
272	Boluo_Tujia	new	a³³+ɕi³³	a ³³ ɕ i ³³	88	new	a33=ʆi33	ab	187 188	v130 t013 c202 v191 t013	1231	sout2739
273	Tanxi_Tujia	new	ʔa⁵⁵+ɕi²¹	ʔ a ⁵⁵ ɕ i ²¹	88	new	ʔa55=ʆi21	ab	187 188	c405 v130 t041 c202 v191 t004	1231	sout2739
274	Tasha_Tujia	night	pʰɤ⁵⁵	pʰ ɤ ⁵⁵	89	night	pʰɤ55	a	189	c261 v084 t041	1233	nort2732
275	Tasha_Tujia	nose	ɤŋ²⁴+ʨʰi⁵⁵	ɤ ŋ ²⁴ tɕʰ i ⁵⁵	90	nose	ɤŋ24-ɕʰi55	cd	190 191	v084 c795 t008 c197 v191 t041	1221	nort2732
276	Duogu_Tujia	nose	ũ²⁴+ʨʰi⁴⁴	ũ ∼ ²⁴ tɕʰ i ⁴⁴	90	nose	ũ24-ɕʰi44	cd	190 191	v025 m002 t008 c197 v191 t030	1221	nort2732
277	Dianfang_Tujia	nose	ẽ³⁵+ʨʰi⁵⁵	ẽ ∼ ³⁵ tɕʰ i ⁵⁵	90	nose	ẽ35-ɕʰi55 ~ ũ35-ɕʰi55	cd	190 191	v201 m002 t017 c197 v191 t041	1221	nort2732
278	Boluo_Tujia	nose	koʉ²¹+ʨi⁵³	k o ʉ ²¹ tɕ i ⁵³	91	nose	koʉ21-ɕi53	ab	192 193	c831 v042 v102 t004 c198 v191 t037	1221	sout2739
279	Tanxi_Tujia	nose	kʉ¹³+ʨi⁵⁵+dʉ³⁵	k ʉ ¹³ tɕ i ⁵⁵ d ʉ ³⁵	91	nose	kʉ13-ɕi55-dʉ35	abe	192 193 194	c831 v102 t020 c198 v191 t041 c143 v102 t017	1221	sout2739
280	Tasha_Tujia	not	ta²⁴	t a ²⁴	92	not	ta24	b	195	c118 v130 t008	1240	nort2732
281	Duogu_Tujia	not	tʰa⁵³	tʰ a ⁵³	92	not	tʰa53 ~ tʰa21	b	195	c136 v130 t037	1240	nort2732
282	Dianfang_Tujia	not	tʰa⁵⁵	tʰ a ⁵⁵	92	not	tʰa55	b	195	c136 v130 t041	1240	nort2732
283	Boluo_Tujia	not	læ̃	l æ̃ ∼	93	not	læ̃	a	196	c548 v197 m002	1240	sout2739
284	Tanxi_Tujia	not	ma⁵³	m a ⁵³	94	not	ma53	c	197	c239 v130 t037	1240	sout2739
285	Tasha_Tujia	one	la²⁴	l a ²⁴	95	one	la24	a	198	c548 v130 t008	1493	nort2732
286	Duogu_Tujia	one	na²⁴	n a ²⁴	95	one	na24	a	198	c105 v130 t008	1493	nort2732
287	Dianfang_Tujia	one	na³⁵	n a ³⁵	95	one	na35	a	198	c105 v130 t017	1493	nort2732
288	Boluo_Tujia	one	la³³	l a ³³	95	one	la33	a	198	c548 v130 t013	1493	sout2739
289	Tanxi_Tujia	one	la⁵⁵	l a ⁵⁵	95	one	la55	a	198	c548 v130 t041	1493	sout2739
290	Tasha_Tujia	person	lu̯ɔ²¹	l w ɔ ²¹	96	person	lu̯ɔ21	a	199	c548 c457 v067 t004	683	nort2732
291	Dianfang_Tujia	person	no⁵⁵	n o ⁵⁵	96	person	no55	a	199	c105 v042 t041	683	nort2732
292	Tanxi_Tujia	person	nia³³	n i a ³³	96	person	nia33	a	199	c105 v191 v130 t013	683	sout2739
293	Tasha_Tujia	rain	mɤ²⁴+zɤ²¹	m ɤ ²⁴ z ɤ ²¹	97	rain	mɤ24=zɤ21	bc	200 201	c239 v084 t008 c078 v084 t004	658	nort2732
294	Duogu_Tujia	rain	mɨe²⁴+ʦe²¹	m ɨ e ²⁴ ts e ²¹	97	rain	mɨe24=ce21	bc	200 201	c239 v116 v200 t008 c015 v200 t004	658	nort2732
