# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	WORDINSOURCE	COUNTERPART	IPA	COGID
293	Southern_Tabasaran	cloud	14	ǯif	ǯif	ǯif	63
294	Gyune_Lezgi	cloud	14	cːif	cːif	cːif	63
295	Outgroup_Chechen	cloud	14	marxa {марха}	марха	marxa	66
296	Alyk_Kryts	cloud	14	ǯif	ǯif	ǯif	63
#
297	Nidzh_Udi	cold	15	čaχ {чах}	чах	čaχ	67
298	Vartashen_Udi	cold	15	čaχ {чах}	чах	čaχ	67
299	Archi	cold	15	χˤˈe-tːu-class	χˤˈe-tːu-class	χˤˈe-tːu-class	68
300	Kryts_proper	cold	15	s=aʁa-y	s=aʁa-y	s=aʁa-y	69
301	Alyk_Kryts	cold	15	qːa-y	qːa-y	qːa-y	69
302	Budukh	cold	15	s=aʁa {сагъа}	сагъа	s=aʁa	69
303	Mishlesh_Tsakhur	cold	15	mɨkʼa-n {мыкIан}	мыкIан	mɨkʼa-n	70
304	Mikik_Tsakhur	cold	15	mɨkʼa-n	mɨkʼa-n	mɨkʼa-n	70
305	Gelmets_Tsakhur	cold	15	mɨkʼa-nʸ	mɨkʼa-nʸ	mɨkʼa-nʸ	70
306	Mukhad_Rutul	cold	15	mɨqʼ-dɨ ~ muqʼ-dɨ {мыкьды}	мыкьды	mɨqʼ-dɨ ~ muqʼ-dɨ	70
307	Ixrek_Rutul	cold	15	mɨqʼ-dɨ {мыкьды}	мыкьды	mɨqʼ-dɨ	70
308	Luchek_Rutul	cold	15	mɨqʼ-dɨ	mɨqʼ-dɨ	mɨqʼ-dɨ	70
309	Koshan_Aghul	cold	15	mikʼ-le-r	mikʼ-le-r	mikʼ-le-r	70
310	Keren_Aghul	cold	15	ruʁu-f	ruʁu-f	ruʁu-f	69
311	Gequn_Aghul	cold	15	ruʁu-f	ruʁu-f	ruʁu-f	69
312	Fite_Aghul	cold	15	ruʁu-t	ruʁu-t	ruʁu-t	69
313	Aghul_proper	cold	15	ruʁu-f	ruʁu-f	ruʁu-f	69
314	Northern_Tabasaran	cold	15	aqˤ-lˈi	aqˤ-lˈi	aqˤ-lˈi	68
315	Southern_Tabasaran	cold	15	ʁ=ˈaʁu	ʁ=ˈaʁu	ʁ=ˈaʁu	69
316	Gyune_Lezgi	cold	15	qːa-yˈi	qːa-yˈi	qːa-yˈi	69
317	Outgroup_Chechen	cold	15	šiyla {шийла}	шийла	šiyla	71
#
318	Nidzh_Udi	come	16	ey- ~ e- {ейсун ~ эйсун}	ейсун ~ эйсун	ey- ~ e-	72
319	Vartashen_Udi	come	16	ey- ~ e- {есун ~ ейсун}	есун ~ ейсун	ey- ~ e-	72
320	Archi	come	16	=ˈaƛi-	=ˈaƛi-	=ˈaƛi-	74
321	Kryts_proper	come	16	ʕ=ušχä-	ʕ=ušχä-	ʕ=ušχä-	75
322	Alyk_Kryts	come	16	ʕ=ašxa-	ʕ=ašxa-	ʕ=ašxa-	75
323	Budukh	come	16	ʕ=ašχa- {гIашха-}	гIашха-	ʕ=ašχa-	75
324	Mishlesh_Tsakhur	come	16	q=aʔ- {хъарий}	хъарий	q=aʔ-	73
325	Mikik_Tsakhur	come	16	q=aʔ-	q=aʔ-	q=aʔ-	73
326	Gelmets_Tsakhur	come	16	q=iʔ-	q=iʔ-	q=iʔ-	73
327	Mukhad_Rutul	come	16	class=iʔi {йикьас, йиркьын}	йикьас, йиркьын	class=iʔi	73
328	Ixrek_Rutul	come	16	class=iʔi {йиркьын}	йиркьын	class=iʔi	73
329	Luchek_Rutul	come	16	class=iʔi	class=iʔi	class=iʔi	73
330	Koshan_Aghul	come	16	waˤ-y-	waˤ-y-	waˤ-y-	72
331	Keren_Aghul	come	16	ad-i-	ad-i-	ad-i-	74
332	Gequn_Aghul	come	16	waˤ-	waˤ-	waˤ-	72
333	Fite_Aghul	come	16	ad-a-	ad-a-	ad-a-	74
334	Aghul_proper	come	16	we-y-	we-y-	we-y-	72
335	Northern_Tabasaran	come	16	ɢˤ-	ɢˤ-	ɢˤ-	72
336	Southern_Tabasaran	come	16	ʁˤ-	ʁˤ-	ʁˤ-	72
337	Gyune_Lezgi	come	16	qːʷe-	qːʷe-	qːʷe-	72
338	Outgroup_Chechen	come	16	d=aː-n {дāн}	дāн	d=aː-n	73
339	Nidzh_Udi	come	16	har-	har-	har-	73
340	Vartashen_Udi	come	16	ar-	ar-	ar-	73
341	Archi	come	16	=qˤˈa	=qˤˈa	=qˤˈa	72
342	Kryts_proper	come	16	ʕ=uxu-	ʕ=uxu-	ʕ=uxu-	76
343	Alyk_Kryts	come	16	ʕ=axu-	ʕ=axu-	ʕ=axu-	76
344	Budukh	come	16	ʕ=axi- {гIахьи-}	гIахьи-	ʕ=axi-	76
345	Mukhad_Rutul	come	16	y=iqʼ-ɨ-r	y=iqʼ-ɨ-r	y=iqʼ-ɨ-r	77
346	Ixrek_Rutul	come	16	y=iqʼ-ɨ-r	y=iqʼ-ɨ-r	y=iqʼ-ɨ-r	77
347	Luchek_Rutul	come	16	y=iqʼ-ɨ-r	y=iqʼ-ɨ-r	y=iqʼ-ɨ-r	77
348	Koshan_Aghul	come	16	arg-i-	arg-i-	arg-i-	74
349	Gequn_Aghul	come	16	ar-i-	ar-i-	ar-i-	74
350	Aghul_proper	come	16	ad-ina-	ad-ina-	ad-ina-	74
351	Northern_Tabasaran	come	16	af-ˈ	af-ˈ	af-ˈ	76
352	Southern_Tabasaran	come	16	af-ˈ	af-ˈ	af-ˈ	76
353	Gyune_Lezgi	come	16	atːˈa-	atːˈa-	atːˈa-	78
#
354	Nidzh_Udi	die	17	bi-esun {биесун}	биесун	bi-esun	79
355	Vartashen_Udi	die	17	bi-esun {биесун}	биесун	bi-esun	79
356	Archi	die	17	=k""|a-	=k""|a-	=k""|a-	79
357	Kryts_proper	die	17	qʼäy-	qʼäy-	qʼäy-	79
358	Alyk_Kryts	die	17	qʼäy-	qʼäy-	qʼäy-	79
359	Budukh	die	17	s=aqʼa- {сакьа-, саркьар-}	сакьа-, саркьар-	s=aqʼa-	79
360	Mishlesh_Tsakhur	die	17	q=ikʼ- {хъикIуй}	хъикIуй	q=ikʼ-	79
361	Mikik_Tsakhur	die	17	q=ikʼ-	q=ikʼ-	q=ikʼ-	79
362	Gelmets_Tsakhur	die	17	q=ikʼ-	q=ikʼ-	q=ikʼ-	79
363	Mukhad_Rutul	die	17	class=iqʼ-i-r {йикьин}	йикьин	class=iqʼ-i-r	79
364	Ixrek_Rutul	die	17	class=iqʼ-i-r {йикьин}	йикьин	class=iqʼ-i-r	79
365	Luchek_Rutul	die	17	class=iqʼ-i-r	class=iqʼ-i-r	class=iqʼ-i-r	79
366	Koshan_Aghul	die	17	kʼ-i-	kʼ-i-	kʼ-i-	79
367	Keren_Aghul	die	17	kʼʸ-a-	kʼʸ-a-	kʼʸ-a-	79
368	Gequn_Aghul	die	17	kʼ-e-	kʼ-e-	kʼ-e-	79
369	Fite_Aghul	die	17	kʼ-e-	kʼ-e-	kʼ-e-	79
370	Aghul_proper	die	17	kʼ-e-	kʼ-e-	kʼ-e-	79
371	Northern_Tabasaran	die	17	yikʼ-	yikʼ-	yikʼ-	79
372	Southern_Tabasaran	die	17	yikʼ-	yikʼ-	yikʼ-	79
373	Gyune_Lezgi	die	17	r=äqʼˈi-	r=äqʼˈi-	r=äqʼˈi-	79
374	Outgroup_Chechen	die	17	d=al-a {дала}	дала	d=al-a	79
375	Nidzh_Udi	die	17	pːu-r-	pːu-r-	pːu-r-	80
376	Vartashen_Udi	die	17	pːu-r-	pːu-r-	pːu-r-	80
377	Gyune_Lezgi	die	17	qʼˈe-	qʼˈe-	qʼˈe-	79
#
378	Nidzh_Udi	dog	18	χˤa {хаъ}	хаъ	χˤa	81
379	Vartashen_Udi	dog	18	χˤa {хаъ}	хаъ	χˤa	81
380	Archi	dog	18	gʷˈači	gʷˈači	gʷˈači	-533
381	Kryts_proper	dog	18	χʷar ~ χor	χʷar ~ χor	χʷar ~ χor	81
382	Alyk_Kryts	dog	18	χʷar	χʷar	χʷar	81
383	Budukh	dog	18	χor {хор}	хор	χor	81
384	Mishlesh_Tsakhur	dog	18	χʷaː {хваа}	хваа	χʷaː	81
385	Mikik_Tsakhur	dog	18	χʷaː	χʷaː	χʷaː	81
386	Gelmets_Tsakhur	dog	18	χʷayä	χʷayä	χʷayä	81
387	Mukhad_Rutul	dog	18	tɨla {тыла}	тыла	tɨla	-534
388	Ixrek_Rutul	dog	18	tɨlä ~ tɨla {тылаь ~ тыла}	тылаь ~ тыла	tɨlä ~ tɨla	-535
389	Luchek_Rutul	dog	18	tɨla	tɨla	tɨla	-536
390	Koshan_Aghul	dog	18	χˤuy	χˤuy	χˤuy	81
391	Keren_Aghul	dog	18	tula	tula	tula	-537
392	Gequn_Aghul	dog	18	χuy	χuy	χuy	81
393	Fite_Aghul	dog	18	χuy	χuy	χuy	81
394	Aghul_proper	dog	18	ʁuy	ʁuy	ʁuy	81
395	Northern_Tabasaran	dog	18	χuy	χuy	χuy	81
396	Southern_Tabasaran	dog	18	χu	χu	χu	81
397	Gyune_Lezgi	dog	18	kicʼ	kicʼ	kicʼ	82
398	Outgroup_Chechen	dog	18	žʕäla {жIаьла}	жIаьла	žʕäla	-538
#
399	Nidzh_Udi	drink	19	uʁˤ-sun {уъгъсун}	уъгъсун	uʁˤ-sun	83
400	Vartashen_Udi	drink	19	uʁˤ-sun ~ uʁˤ-esun {уъгъсун}	уъгъсун	uʁˤ-sun ~ uʁˤ-esun	83
401	Archi	drink	19	cʼˈa-bu-	cʼˈa-bu-	cʼˈa-bu-	84
402	Kryts_proper	drink	19	qːɨr-	qːɨr-	qːɨr-	83
403	Alyk_Kryts	drink	19	qːir-	qːir-	qːir-	83
404	Budukh	drink	19	s=eʁir- {сегъир-, согъуру}	сегъир-, согъуру	s=eʁir-	83
405	Mishlesh_Tsakhur	drink	19	ilʸ=oʁ- {илёбгъий, илёдгъий}	илёбгъий, илёдгъий	ilʸ=oʁ-	83
406	Mikik_Tsakhur	drink	19	ulʸ=oʁ-	ulʸ=oʁ-	ulʸ=oʁ-	83
407	Gelmets_Tsakhur	drink	19	ulʸ=oʁ-	ulʸ=oʁ-	ulʸ=oʁ-	83
408	Mukhad_Rutul	drink	19	class=raʁ- {рагъын}	рагъын	class=raʁ-	83
409	Ixrek_Rutul	drink	19	class=raʁ- {рагъин, рагъас}	рагъин, рагъас	class=raʁ-	83
410	Luchek_Rutul	drink	19	class=raʁˤ-	class=raʁˤ-	class=raʁˤ-	83
411	Koshan_Aghul	drink	19	uχ-a-	uχ-a-	uχ-a-	85
412	Keren_Aghul	drink	19	uχ-a-	uχ-a-	uχ-a-	85
413	Gequn_Aghul	drink	19	uχ-a-	uχ-a-	uχ-a-	85
414	Fite_Aghul	drink	19	uχ-a-	uχ-a-	uχ-a-	85
415	Aghul_proper	drink	19	uχ-a-	uχ-a-	uχ-a-	85
416	Northern_Tabasaran	drink	19	uɢ-ˈ	uɢ-ˈ	uɢ-ˈ	83
417	Southern_Tabasaran	drink	19	uχ-ˈ	uχ-ˈ	uχ-ˈ	85
418	Gyune_Lezgi	drink	19	qʷa-	qʷa-	qʷa-	86
419	Outgroup_Chechen	drink	19	miyl-a {мийла}	мийла	miyl-a	87
#
420	Nidzh_Udi	dry	20	qːari {къари}	къари	qːari	88
421	Vartashen_Udi	dry	20	qːari {къари}	къари	qːari	88
422	Archi	dry	20	qʼurˈe-tːu-class	qʼurˈe-tːu-class	qʼurˈe-tːu-class	88
423	Kryts_proper	dry	20	säʕ-y	säʕ-y	säʕ-y	89
424	Alyk_Kryts	dry	20	saʔa	saʔa	saʔa	89
425	Budukh	dry	20	saʔa {саъа}	саъа	saʔa	89
426	Mishlesh_Tsakhur	dry	20	qːuru-n {къурун}	къурун	qːuru-n	88
427	Mikik_Tsakhur	dry	20	qːuru-n	qːuru-n	qːuru-n	88
428	Gelmets_Tsakhur	dry	20	qːuru-nʸ	qːuru-nʸ	qːuru-nʸ	88
429	Mukhad_Rutul	dry	20	qːuru-d {къуруд}	къуруд	qːuru-d	88
430	Ixrek_Rutul	dry	20	qːuru-dɨ {къуруды}	къуруды	qːuru-dɨ	88
431	Luchek_Rutul	dry	20	qːuru-d	qːuru-d	qːuru-d	88
432	Koshan_Aghul	dry	20	urqːa-r	urqːa-r	urqːa-r	88
433	Keren_Aghul	dry	20	ruqːu-f	ruqːu-f	ruqːu-f	88
434	Gequn_Aghul	dry	20	ruqːu-f	ruqːu-f	ruqːu-f	88
435	Fite_Aghul	dry	20	ruqːu-t	ruqːu-t	ruqːu-t	88
436	Aghul_proper	dry	20	ruqːu-f	ruqːu-f	ruqːu-f	88
437	Northern_Tabasaran	dry	20	yiʒˈi	yiʒˈi	yiʒˈi	90
438	Southern_Tabasaran	dry	20	ʁe=yˈecːu	ʁe=yˈecːu	ʁe=yˈecːu	90
439	Gyune_Lezgi	dry	20	qʼurˈa-y	qʼurˈa-y	qʼurˈa-y	88
440	Outgroup_Chechen	dry	20	d=eqʼ-a {декъа}	декъа	d=eqʼ-a	88
#
441	Nidzh_Udi	ear	21	um-uχˤ {уъмуъх}	уъмуъх	um-uχˤ	91
442	Vartashen_Udi	ear	21	im-uχ	im-uχ	im-uχ	91
443	Archi	ear	21	oy	oy	oy	91
444	Kryts_proper	ear	21	ibɨr	ibɨr	ibɨr	91
445	Alyk_Kryts	ear	21	ibur	ibur	ibur	91
446	Budukh	ear	21	ibir {ибир}	ибир	ibir	91
447	Mishlesh_Tsakhur	ear	21	kʼɨrɨ {кIыры}	кIыры	kʼɨrɨ	92
448	Mikik_Tsakhur	ear	21	kʼɨrɨ	kʼɨrɨ	kʼɨrɨ	92
449	Gelmets_Tsakhur	ear	21	kʼɨrɨ	kʼɨrɨ	kʼɨrɨ	92
450	Mukhad_Rutul	ear	21	ubur {убур}	убур	ubur	91
451	Ixrek_Rutul	ear	21	ubur {убур}	убур	ubur	91
452	Luchek_Rutul	ear	21	ubur	ubur	ubur	91
453	Koshan_Aghul	ear	21	iwir	iwir	iwir	91
454	Keren_Aghul	ear	21	yabur	yabur	yabur	91
455	Gequn_Aghul	ear	21	iwur	iwur	iwur	91
456	Fite_Aghul	ear	21	ibur	ibur	ibur	91
457	Aghul_proper	ear	21	ibur	ibur	ibur	91
458	Northern_Tabasaran	ear	21	iw	iw	iw	91
459	Southern_Tabasaran	ear	21	ib	ib	ib	91
460	Gyune_Lezgi	ear	21	yab	yab	yab	91
461	Outgroup_Chechen	ear	21	lerg {лерг}	лерг	lerg	93
#
462	Nidzh_Udi	earth	22	očˤal {очъал}	очъал	očˤal	94
463	Vartashen_Udi	earth	22	kːul {кIул}	кIул	kːul	95
464	Archi	earth	22	naqʼʷ	naqʼʷ	naqʼʷ	96
465	Kryts_proper	earth	22	nöqʼ	nöqʼ	nöqʼ	96
466	Alyk_Kryts	earth	22	neuqʼ	neuqʼ	neuqʼ	96
467	Budukh	earth	22	noqʼ {нокь}	нокь	noqʼ	96
468	Mishlesh_Tsakhur	earth	22	čʼiye {чIийе}	чIийе	čʼiye	97
469	Mikik_Tsakhur	earth	22	nʸaqʼʷ	nʸaqʼʷ	nʸaqʼʷ	96
470	Gelmets_Tsakhur	earth	22	nʸaqʼʷ	nʸaqʼʷ	nʸaqʼʷ	96
471	Mukhad_Rutul	earth	22	naqʼʷ {накьв}	накьв	naqʼʷ	96
472	Ixrek_Rutul	earth	22	neqʼʷ {некьв}	некьв	neqʼʷ	96
473	Luchek_Rutul	earth	22	naqʼʷ	naqʼʷ	naqʼʷ	96
474	Koshan_Aghul	earth	22	rug	rug	rug	98
475	Keren_Aghul	earth	22	neqʼʷ	neqʼʷ	neqʼʷ	96
476	Gequn_Aghul	earth	22	rug	rug	rug	98
477	Fite_Aghul	earth	22	rug	rug	rug	98
478	Aghul_proper	earth	22	rug	rug	rug	98
479	Northern_Tabasaran	earth	22	rˈug-u	rˈug-u	rˈug-u	98
480	Southern_Tabasaran	earth	22	rug	rug	rug	98
481	Gyune_Lezgi	earth	22	rug	rug	rug	98
482	Outgroup_Chechen	earth	22	latta {латта}	латта	latta	99
#
483	Nidzh_Udi	eat	23	uk-sun {уксун}	уксун	uk-sun	100
484	Vartashen_Udi	eat	23	uk-sun {уксун}	уксун	uk-sun	100
485	Archi	eat	23	=kʷan-	=kʷan-	=kʷan-	100
486	Kryts_proper	eat	23	üʕl-	üʕl-	üʕl-	101
487	Alyk_Kryts	eat	23	ul-	ul-	ul-	101
488	Budukh	eat	23	s=oʡul- {соъул-}	соъул-	s=oʡul-	101
489	Mishlesh_Tsakhur	eat	23	oxan- ~ oxʷan- {охьан-, эйхьван-}	охьан-, эйхьван-	oxan- ~ oxʷan-	102
490	Mikik_Tsakhur	eat	23	oxan-	oxan-	oxan-	102
491	Gelmets_Tsakhur	eat	23	oxan- {охьан-аз}	охьан-аз	oxan-	102
492	Mukhad_Rutul	eat	23	class=ʔil- {илаьс}	илаьс	class=ʔil-	101
493	Ixrek_Rutul	eat	23	il- {лиъин}	лиъин	il-	101
494	Luchek_Rutul	eat	23	class=il-	class=il-	class=il-	101
495	Koshan_Aghul	eat	23	ʡutʼ-ala-	ʡutʼ-ala-	ʡutʼ-ala-	101
496	Keren_Aghul	eat	23	ʢutʼ-a-	ʢutʼ-a-	ʢutʼ-a-	101
497	Gequn_Aghul	eat	23	Hal-di	Hal-di	Hal-di	101
498	Fite_Aghul	eat	23	Hutʼ-a-	Hutʼ-a-	Hutʼ-a-	101
499	Aghul_proper	eat	23	ʡal-di	ʡal-di	ʡal-di	101
500	Northern_Tabasaran	eat	23	ˈüd-	ˈüd-	ˈüd-	101
501	Southern_Tabasaran	eat	23	ipʼ-ˈ	ipʼ-ˈ	ipʼ-ˈ	101
502	Gyune_Lezgi	eat	23	ne-	ne-	ne-	101
503	Outgroup_Chechen	eat	23	d=aʔ-a {даа}	даа	d=aʔ-a	103
504	Nidzh_Udi	eat	23	käy-	käy-	käy-	100
505	Vartashen_Udi	eat	23	käy-	käy-	käy-	100
506	Mukhad_Rutul	eat	23	liʔ-	liʔ-	liʔ-	101
507	Ixrek_Rutul	eat	23	liʔ-	liʔ-	liʔ-	101
508	Luchek_Rutul	eat	23	liʔ-	liʔ-	liʔ-	101
509	Gequn_Aghul	eat	23	utʼ-una-	utʼ-una-	utʼ-una-	101
510	Aghul_proper	eat	23	ʡutʼ-una-	ʡutʼ-una-	ʡutʼ-una-	101
511	Northern_Tabasaran	eat	23	ˈuˤpʼ-	ˈuˤpʼ-	ˈuˤpʼ-	101
512	Gyune_Lezgi	eat	23	tʼü-	tʼü-	tʼü-	101
#
513	Nidzh_Udi	egg	24	qokːla ~ qoqːla ~ qːoqla {хъокIла ~ хъокъла ~ къохъла}	хъокIла ~ хъокъла ~ къохъла	qokːla ~ qoqːla ~ qːoqla	104
514	Vartashen_Udi	egg	24	qoqːla ~ χoχla ~ qoqla ~ qːoqːla ~ kokla ~ koχla {хъокъла}	хъокъла	qoqːla ~ χoχla ~ qoqla ~ qːoqːla ~ kokla ~ koχla	104
515	Archi	egg	24	gˈenukː-	gˈenukː-	gˈenukː-	-539
516	Kryts_proper	egg	24	kusuntʼ	kusuntʼ	kusuntʼ	105
517	Alyk_Kryts	egg	24	kusχuntʼ	kusχuntʼ	kusχuntʼ	105
518	Budukh	egg	24	kusxud {кусхьуд}	кусхьуд	kusxud	105
519	Mishlesh_Tsakhur	egg	24	qʼuqʼ {кьукь}	кьукь	qʼuqʼ	106
520	Mikik_Tsakhur	egg	24	qʼuqʼ	qʼuqʼ	qʼuqʼ	106
521	Gelmets_Tsakhur	egg	24	qʼuqʼ	qʼuqʼ	qʼuqʼ	106
522	Mukhad_Rutul	egg	24	ʁɨlɨʁ {гъылыгъ}	гъылыгъ	ʁɨlɨʁ	104
523	Ixrek_Rutul	egg	24	ʁɨlɨʁ {гъылыгъ}	гъылыгъ	ʁɨlɨʁ	104
524	Luchek_Rutul	egg	24	ʁɨlɨʁ	ʁɨlɨʁ	ʁɨlɨʁ	104
525	Koshan_Aghul	egg	24	ʕuraʕa-n	ʕuraʕa-n	ʕuraʕa-n	104
526	Keren_Aghul	egg	24	ʁˤaraʁa-l	ʁˤaraʁa-l	ʁˤaraʁa-l	104
527	Gequn_Aghul	egg	24	ʁaraʁi-l	ʁaraʁi-l	ʁaraʁi-l	104
528	Fite_Aghul	egg	24	ʁˤaraʁi-l	ʁˤaraʁi-l	ʁˤaraʁi-l	104
529	Aghul_proper	egg	24	ʁuraʁa-l	ʁuraʁa-l	ʁuraʁa-l	104
530	Northern_Tabasaran	egg	24	paːluχˤˈuw ~ peliχˤuw {пелихюв}	пелихюв	paːluχˤˈuw ~ peliχˤuw	107
531	Southern_Tabasaran	egg	24	murtˈa	murtˈa	murtˈa	-540
532	Gyune_Lezgi	egg	24	kːakːˈa	kːakːˈa	kːakːˈa	108
533	Outgroup_Chechen	egg	24	hoa {хIоа}	хIоа	hoa	109
#
534	Nidzh_Udi	eye	25	pul {пул}	пул	pul	110
535	Vartashen_Udi	eye	25	pul {пул}	пул	pul	110
536	Archi	eye	25	l-ur	l-ur	l-ur	110
537	Kryts_proper	eye	25	ʕül	ʕül	ʕül	110
538	Alyk_Kryts	eye	25	ʕul	ʕul	ʕul	110
539	Budukh	eye	25	ʕül {гIуьл}	гIуьл	ʕül	110
540	Mishlesh_Tsakhur	eye	25	ulʸ {улʹ}	улʹ	ulʸ	110
541	Mikik_Tsakhur	eye	25	ulʸ	ulʸ	ulʸ	110
542	Gelmets_Tsakhur	eye	25	ulʸ	ulʸ	ulʸ	110
543	Mukhad_Rutul	eye	25	ul {ул}	ул	ul	110
544	Ixrek_Rutul	eye	25	ul {ул}	ул	ul	110
545	Luchek_Rutul	eye	25	ul	ul	ul	110
546	Koshan_Aghul	eye	25	il	il	il	110
547	Keren_Aghul	eye	25	ul	ul	ul	110
548	Gequn_Aghul	eye	25	ul	ul	ul	110
549	Fite_Aghul	eye	25	ul	ul	ul	110
550	Aghul_proper	eye	25	ul	ul	ul	110
551	Northern_Tabasaran	eye	25	ul	ul	ul	110
552	Southern_Tabasaran	eye	25	ul	ul	ul	110
553	Gyune_Lezgi	eye	25	wil	wil	wil	110
554	Outgroup_Chechen	eye	25	bʕärg {бIаьрг}	бIаьрг	bʕärg	110
#
2231	Nidzh_Udi	far	101	aχˤi-l {аъхиъл}	аъхиъл	aχˤi-l	445
2232	Vartashen_Udi	far	101	aχˤi-l {аъхиъл}	аъхиъл	aχˤi-l	445
2233	Archi	far	101	ˈaχ-ši	ˈaχ-ši	ˈaχ-ši	445
2234	Kryts_proper	far	101	yuqː-ta	yuqː-ta	yuqː-ta	445
2235	Alyk_Kryts	far	101	iχ-ta	iχ-ta	iχ-ta	445
2236	Budukh	far	101	yɨχ-ta {йыхта}	йыхта	yɨχ-ta	445
2237	Mishlesh_Tsakhur	far	101	aqʼˤa-na {акьаIна}	акьаIна	aqʼˤa-na	446
2238	Mikik_Tsakhur	far	101	aqʼˤa-na	aqʼˤa-na	aqʼˤa-na	446
2239	Gelmets_Tsakhur	far	101	aqʼˤa-na	aqʼˤa-na	aqʼˤa-na	446
2240	Mukhad_Rutul	far	101	χɨr-ɨd-a {хырыда}	хырыда	χɨr-ɨd-a	445
2241	Ixrek_Rutul	far	101	χɨr-ɨd-ä {хырыдаь}	хырыдаь	χɨr-ɨd-ä	445
2242	Luchek_Rutul	far	101	χɨr-ɨd-ɨ	χɨr-ɨd-ɨ	χɨr-ɨd-ɨ	445
2243	Koshan_Aghul	far	101	warχa-ʔ ~ warχa-l	warχa-ʔ ~ warχa-l	warχa-ʔ ~ warχa-l	445
2244	Keren_Aghul	far	101	warχa-ʔ ~ warχa-l	warχa-ʔ ~ warχa-l	warχa-ʔ ~ warχa-l	445
2245	Gequn_Aghul	far	101	warχa-ʔ ~ warχa-l	warχa-ʔ ~ warχa-l	warχa-ʔ ~ warχa-l	445
2246	Fite_Aghul	far	101	warχa-d ~ warχa	warχa-d ~ warχa	warχa-d ~ warχa	445
2247	Aghul_proper	far	101	warχa-l	warχa-l	warχa-l	445
2248	Northern_Tabasaran	far	101	yarχu-lˈa	yarχu-lˈa	yarχu-lˈa	445
2249	Southern_Tabasaran	far	101	yarχʷ-lˈa	yarχʷ-lˈa	yarχʷ-lˈa	445
2250	Gyune_Lezgi	far	101	yarʁˈa-l	yarʁˈa-l	yarʁˈa-l	445
2251	Outgroup_Chechen	far	101	geːna-ra {генара}	генара	geːna-ra	447
#
555	Nidzh_Udi	fat n.	26	bošin=čːäyin	bošin=čːäyin	bošin=čːäyin	111
556	Vartashen_Udi	fat n.	26	čːäin	čːäin	čːäin	111
557	Archi	fat n.	26	may ~ miy	may ~ miy	may ~ miy	112
558	Kryts_proper	fat n.	26	mäʔ	mäʔ	mäʔ	112
559	Alyk_Kryts	fat n.	26	maʔ	maʔ	maʔ	112
560	Budukh	fat n.	26	maʔ {маъ}	маъ	maʔ	112
561	Mishlesh_Tsakhur	fat n.	26	maʔ {маъ}	маъ	maʔ	112
562	Mikik_Tsakhur	fat n.	26	maʔa	maʔa	maʔa	112
563	Gelmets_Tsakhur	fat n.	26	maʔ	maʔ	maʔ	112
564	Mukhad_Rutul	fat n.	26	maʔ {маъ}	маъ	maʔ	112
565	Koshan_Aghul	fat n.	26	ħul	ħul	ħul	113
566	Keren_Aghul	fat n.	26	maw	maw	maw	112
567	Gequn_Aghul	fat n.	26	maw	maw	maw	112
568	Fite_Aghul	fat n.	26	maw	maw	maw	112
569	Aghul_proper	fat n.	26	yaʁ	yaʁ	yaʁ	114
570	Northern_Tabasaran	fat n.	26	χˤul	χˤul	χˤul	113
571	Southern_Tabasaran	fat n.	26	χˤul	χˤul	χˤul	113
572	Gyune_Lezgi	fat n.	26	maqʼ	maqʼ	maqʼ	112
573	Outgroup_Chechen	fat n.	26	moħ {мохь}	мохь	moħ	112
#
574	Nidzh_Udi	feather	27	maǯa {маджа}	маджа	maǯa	115
575	Vartashen_Udi	feather	27	kuk	kuk	kuk	116
576	Archi	feather	27	cal	cal	cal	118
577	Kryts_proper	feather	27	kʷak	kʷak	kʷak	116
578	Alyk_Kryts	feather	27	kuk	kuk	kuk	116
579	Budukh	feather	27	qːanət {къанат}	къанат	qːanət	-541
580	Mishlesh_Tsakhur	feather	27	wusun {вусун}	вусун	wusun	119
581	Mikik_Tsakhur	feather	27	kuk-ra	kuk-ra	kuk-ra	116
582	Gelmets_Tsakhur	feather	27	wɨsɨn	wɨsɨn	wɨsɨn	119
583	Mukhad_Rutul	feather	27	maqˤaq ~ maɢˤaɢ {маIкъаIкъ}	маIкъаIкъ	maqˤaq ~ maɢˤaɢ	120
584	Ixrek_Rutul	feather	27	pɨy {пый}	пый	pɨy	-542
585	Luchek_Rutul	feather	27	maqˤaq	maqˤaq	maqˤaq	120
586	Koshan_Aghul	feather	27	purcʼ	purcʼ	purcʼ	121
587	Keren_Aghul	feather	27	pincʼ	pincʼ	pincʼ	121
588	Gequn_Aghul	feather	27	murcʼ ~ purcʼ	murcʼ ~ purcʼ	murcʼ ~ purcʼ	121
589	Fite_Aghul	feather	27	murcʼ	murcʼ	murcʼ	121
590	Aghul_proper	feather	27	murcʼ	murcʼ	murcʼ	121
591	Northern_Tabasaran	feather	27	ʁik	ʁik	ʁik	122
592	Southern_Tabasaran	feather	27	cːikʷ	cːikʷ	cːikʷ	123
593	Gyune_Lezgi	feather	27	cʼap-ˈur	cʼap-ˈur	cʼap-ˈur	121
594	Outgroup_Chechen	feather	27	peːlag {пēлаг}	пēлаг	peːlag	124
595	Vartashen_Udi	feather	27	posposkːal	posposkːal	posposkːal	117
#
