ID	_DOCULECT	_CONCEPTx	IPA	TOKENS	POS	COGID	ID_IN_SOURCE	CHINESE_GLOSS	SOURCE	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE
4193	Dashi	hoof	?	?	?	264	264	?	Wang2006a	?	hoof
4194	Zhoucheng	hoof	pa₂₁	p a ₂₁	?	264	264	?	Wang2006a	pa21	hoof
4195	Mazhelong	hoof	tʰi₅₅t͡si₃₃	tʰ i ₅₅ t͡s i ₃₃	?	264	264	?	Wang2006a	[tʰi55tsi33]	hoof
4196	Tuoluo	mare	ma₃₃mo₃₃	m a ₃₃ m o ₃₃	?	271	271	?	Wang2006a	ma33mo33	mare
4197	Gongxing	mare	mæ₂₂mu₂₂	m æ ₂₂ m u ₂₂	?	271	271	?	Wang2006a	mæ22mu22	mare
4198	Enqi	mare	mɛ₂₂mo₂₂	m ɛ ₂₂ m o ₂₂	?	271	271	?	Wang2006a	mE22mo22	mare
4199	Ega	mare	mi₂₁	m i ₂₁	?	271	271	?	Wang2006a	(mi21)	mare
4200	Jinman	mare	mo₂₂mo₂₂	m o ₂₂ m o ₂₂	?	271	271	?	Wang2006a	mo22mo22	mare
4201	Jinxing	mare	man₃₃mõ₃₃	m a n ₃₃ m õ ₃₃	?	271	271	?	Wang2006a	man33mõ33	mare
4202	Dashi	mare	mɚ₃₃mõ₃₃	m ɚ ₃₃ m õ ₃₃	?	271	271	?	Wang2006a	mɚ33mõ33	mare
4203	Zhoucheng	mare	mɛ₃₃t͡sou₃₅	m ɛ ₃₃ t͡s ou ₃₅	?	271	271	?	Wang2006a	[mɛ33tsou35]	mare
4204	Tuoluo	horse mane	ɕia₄₂	ɕ ia ₄₂	?	271	271	?	Wang2006a	ɕia42	horse mane
4205	Gongxing	horse mane	ɕia₂₄	ɕ ia ₂₄	?	271	271	?	Wang2006a	ɕia24	horse mane
4206	Enqi	horse mane	ɕia₅₅	ɕ ia ₅₅	?	271	271	?	Wang2006a	ɕia55	horse mane
4207	Jinman	horse mane	mie₂₁	m ie ₂₁	?	271	271	?	Wang2006a	(mie21)	horse mane
4208	Jinxing	horse mane	ɕɑ₄₄	ɕ ɑ ₄₄	?	271	271	?	Wang2006a	ɕɑ44	horse mane
4209	Tuoluo	sheep (general)	joŋ₃₅	j o ŋ ₃₅	?	274	274	?	Wang2006a	joŋ35	sheep (general)
4210	Gongxing	sheep (general)	joŋ₁₂	j o ŋ ₁₂	?	274	274	?	Wang2006a	joŋ12	sheep (general)
4211	Enqi	sheep (general)	ɲio₂₁	ɲ io ₂₁	?	274	274	?	Wang2006a	ɲio21	sheep (general)
4212	Ega	sheep (general)	ɲiõ₂₁	ɲ iõ ₂₁	?	274	274	?	Wang2006a	ɲiõ21	sheep (general)
4213	Jinman	sheep (general)	ɲiõ₂₁	ɲ iõ ₂₁	?	274	274	?	Wang2006a	ɲiõ21	sheep (general)
4214	Jinxing	sheep (general)	jõ₂₁	j õ ₂₁	?	274	274	?	Wang2006a	jõ21	sheep (general)
4215	Dashi	sheep (general)	joŋ₂₁	j o ŋ ₂₁	?	274	274	?	Wang2006a	joŋ21	sheep (general)
4216	Zhoucheng	sheep (general)	jou₂₁	j ou ₂₁	?	274	274	?	Wang2006a	jou21	sheep (general)
4217	Mazhelong	sheep (general)	joŋ₂₁	j o ŋ ₂₁	?	274	274	?	Wang2006a	joŋ21	sheep (general)
4218	Tuoluo	leopard; panther			?	310	310	?	Wang2006a		leopard; panther
4219	Gongxing	leopard; panther	pi₄₂	p i ₄₂	?	310	310	?	Wang2006a	pi42	leopard; panther
4220	Enqi	leopard; panther	piɛ₄₃	p iɛ ₄₃	?	310	310	?	Wang2006a	piɛ43	leopard; panther
4221	Jinman	leopard; panther	pie₄₂	p ie ₄₂	?	310	310	?	Wang2006a	pie42	leopard; panther
4222	Jinxing	leopard; panther	pɑ̃₄₂	p ɑ̃ ₄₂	?	310	310	?	Wang2006a	pɑ̃42	leopard; panther
4223	Dashi	leopard; panther	pã₄₂	p ã ₄₂	?	310	310	?	Wang2006a	pã42	leopard; panther
4224	Zhoucheng	leopard; panther	pa₅₃	p a ₅₃	?	310	310	?	Wang2006a	pa53	leopard; panther
4225	Mazhelong	leopard; panther	paŋ₄₂	p a ŋ ₄₂	?	310	310	?	Wang2006a	paŋ42	leopard; panther
4226	Tuoluo	muntjac; barking deer	vɚ₄₂	v ɚ ₄₂	?	314	314	?	Wang2006a	vɚ42	muntjac; barking deer
4227	Gongxing	muntjac; barking deer	bɤu₂₁	b ɤu ₂₁	?	314	314	?	Wang2006a	bvu21	muntjac; barking deer
4228	Enqi	muntjac; barking deer	tʰia₅₅ɤo₂₁	tʰ ia ₅₅ ɤo ₂₁	?	314	314	?	Wang2006a	(tʰia55)vo21	muntjac; barking deer
4229	Ega	muntjac; barking deer	wa₄₂	w a ₄₂	?	314	314	?	Wang2006a	wa42	muntjac; barking deer
4230	Jinman	muntjac; barking deer	uo₂₁	uo ₂₁	?	314	314	?	Wang2006a	uo21	muntjac; barking deer
4231	Zhoucheng	muntjac; barking deer	v₄₂	v ₄₂	?	314	314	?	Wang2006a	v42	muntjac; barking deer
4232	Mazhelong	muntjac; barking deer	v₄₂	v ₄₂	?	314	314	?	Wang2006a	v42	muntjac; barking deer
4233	Tuoluo	musk	ji₂₁ɕioŋ₅₅	j i ₂₁ ɕ io ŋ ₅₅	?	316	316	?	Wang2006a	ji21ɕioŋ55	musk
4234	Gongxing	musk	jen₄₂ɕioŋ₅₅	j e n ₄₂ ɕ io ŋ ₅₅	?	316	316	?	Wang2006a	jen42ɕioŋ55	musk
4235	Enqi	musk	ji₂₁ɕio₂₄	j i ₂₁ ɕ io ₂₄	?	316	316	?	Wang2006a	ji21ɕio24	musk
4236	Ega	musk	ji₄₂ɕio₅₅	j i ₄₂ ɕ io ₅₅	?	316	316	?	Wang2006a	ji42ɕio55	musk
4237	Jinman	musk	ji₂₁ɕiõ₅₅	j i ₂₁ ɕ iõ ₅₅	?	316	316	?	Wang2006a	ji21ɕiõ55	musk
4238	Jinxing	musk	ji₃₁ɕiõ₅₅	j i ₃₁ ɕ iõ ₅₅	?	316	316	?	Wang2006a	ji31ɕiõ55	musk
4239	Dashi	musk	ʧɛ₂₁ɕiõ₃₅	ʧ ɛ ₂₁ ɕ iõ ₃₅	?	316	316	?	Wang2006a	ʧɛ21ɕiõ35	musk
4240	Zhoucheng	musk	ji₃₁ɕiou₃₅	j i ₃₁ ɕ iou ₃₅	?	316	316	?	Wang2006a	ji31ɕiou35	musk
4241	Mazhelong	musk	ji₂₁ɕioŋ₅₅	j i ₂₁ ɕ io ŋ ₅₅	?	316	316	?	Wang2006a	ji21ɕioŋ55	musk
4242	Tuoluo	hedgehog	ʁɔ̈̄	ʁ ɔ̈̄	?	319	319	?	Wang2006a	ʁɔ̈̄	hedgehog
4243	Gongxing	hedgehog	ɢa₁₂	ɢ a ₁₂	?	319	319	?	Wang2006a	ɢa12	hedgehog
4244	Enqi	hedgehog	qa₂₁	q a ₂₁	?	319	319	?	Wang2006a	qa21	hedgehog
4245	Jinman	hedgehog	qa₂₁	q a ₂₁	?	319	319	?	Wang2006a	qa21	hedgehog
4246	Zhoucheng	hedgehog	ka₂₁	k a ₂₁	?	319	319	?	Wang2006a	ka21	hedgehog
4247	Mazhelong	hedgehog	ken₂₁	k e n ₂₁	?	319	319	?	Wang2006a	ken21	hedgehog
4248	Tuoluo	birs"s nest	t͡ʂʰɚ₂₁	t͡ʂʰ ɚ ₂₁	?	327	327	?	Wang2006a	tʂʰɚ21	birs"s nest
4249	Gongxing	birs"s nest	t͡ʂʰi₄₂	t͡ʂʰ i ₄₂	?	327	327	?	Wang2006a	tʂʰi42	birs"s nest
4250	Enqi	birs"s nest	tiɯ₂₄	t iɯ ₂₄	?	327	327	?	Wang2006a	(tiɯ24)	birs"s nest
4251	Ega	birs"s nest	t͡sʰɛ₄₄	t͡sʰ ɛ ₄₄	?	327	327	?	Wang2006a	tsʰɛ44	birs"s nest
4252	Jinman	birs"s nest	t͡ɕʰɚ₄₂	t͡ɕʰ ɚ ₄₂	?	327	327	?	Wang2006a	tɕʰɚ42	birs"s nest
4253	Jinxing	birs"s nest	kʰɤ₃₁	kʰ ɤ ₃₁	?	327	327	?	Wang2006a	kʰv31	birs"s nest
4254	Dashi	birs"s nest	kʰo₃₃	kʰ o ₃₃	?	327	327	?	Wang2006a	kʰo33	birs"s nest
4255	Zhoucheng	birs"s nest	kʰɤ₃₃	kʰ ɤ ₃₃	?	327	327	?	Wang2006a	kʰv33	birs"s nest
4256	Mazhelong	birs"s nest	t͡ɕʰu₂₁	t͡ɕʰ u ₂₁	?	327	327	?	Wang2006a	tɕʰu21	birs"s nest
4257	Tuoluo	pheasant	ʑi₃₃	ʑ i ₃₃	?	340	340	?	Wang2006a	ʑi33	pheasant
4258	Gongxing	pheasant	d͡ʑi₂₂	d͡ʑ i ₂₂	?	340	340	?	Wang2006a	dʑi22	pheasant
4259	Enqi	pheasant	d͡ʑi₃₃	d͡ʑ i ₃₃	?	340	340	?	Wang2006a	dʑi33	pheasant
4260	Jinman	pheasant	qo₄₂t͡ɕyi₂₂	q o ₄₂ t͡ɕ yi ₂₂	?	340	340	?	Wang2006a	(qo42)tɕyi22	pheasant
4261	Jinxing	pheasant	t͡ɕiɯ₃₃ki₅₅	t͡ɕ iɯ ₃₃ k i ₅₅	?	340	340	?	Wang2006a	tɕiɯ33(ki55)	pheasant
4262	Dashi	pheasant	t͡ɕi₃₃	t͡ɕ i ₃₃	?	340	340	?	Wang2006a	tɕi33	pheasant
4263	Zhoucheng	pheasant	je₂₁ke₃₅	j e ₂₁ k e ₃₅	?	340	340	?	Wang2006a	(je21ke35)	pheasant
4264	Mazhelong	pheasant	koŋ₄₂ke₅₅	k o ŋ ₄₂ k e ₅₅	?	340	340	?	Wang2006a	(koŋ42ke55/tien33)	pheasant
4265	Tuoluo	snake	t͡ʂʰɚ̃₃₃	t͡ʂʰ ɚ̃ ₃₃	?	347	347	?	Wang2006a	tʂʰɚ̃33	snake
4266	Gongxing	snake	t͡ʂʰi₂₂	t͡ʂʰ i ₂₂	?	347	347	?	Wang2006a	tʂʰi22	snake
4267	Enqi	snake	t͡sʰɿ₂₂	t͡sʰ ɿ ₂₂	?	347	347	?	Wang2006a	tsʰɿ22	snake
4268	Ega	snake	ʃʰɛ₂₂	ʃʰ ɛ ₂₂	?	347	347	?	Wang2006a	ʃʰɛ22	snake
4269	Jinman	snake	t͡ɕ↑iɚ̃₂₂	t͡ɕ ↑ iɚ̃ ₂₂	?	347	347	?	Wang2006a	tɕ↑iɚ̃22	snake
4270	Mazhelong	snake	t͡ɕʰiu₃₃	t͡ɕʰ iu ₃₃	?	347	347	?	Wang2006a	tɕʰiu33	snake
4271	Tuoluo	scale	qa₄₂	q a ₄₂	?	352	352	?	Wang2006a	qa42	scale
4272	Enqi	scale	qæ₅₅	q æ ₅₅	?	352	352	?	Wang2006a	qæ55	scale
4273	Ega	scale	qa₄₄	q a ₄₄	?	352	352	?	Wang2006a	qa44	scale
4274	Jinman	scale	qa₅₅	q a ₅₅	?	352	352	?	Wang2006a	qa55	scale
4275	Jinxing	scale	ka₄₄	k a ₄₄	?	352	352	?	Wang2006a	ka44	scale
4276	Dashi	scale	kɚ₄₄	k ɚ ₄₄	?	352	352	?	Wang2006a	kɚ44	scale
4277	Zhoucheng	scale	kɛ₄₄	k ɛ ₄₄	?	352	352	?	Wang2006a	kɛ44	scale
4278	Mazhelong	scale	kɚ₄₄	k ɚ ₄₄	?	352	352	?	Wang2006a	kɚ44	scale
4279	Tuoluo	maggot	ʐy₃₅	ʐ y ₃₅	?	259	259	?	Wang2006a	ʐy35	maggot
4280	Gongxing	maggot	d͡zao₁₂	d͡z ao ₁₂	?	259	259	?	Wang2006a	dzao12	maggot
4281	Enqi	maggot	t͡ɕio₂₁	t͡ɕ io ₂₁	?	259	259	?	Wang2006a	tɕio21	maggot
4282	Ega	maggot	t͡ɕiu₂₁	t͡ɕ iu ₂₁	?	259	259	?	Wang2006a	tɕiu21	maggot
4283	Jinman	maggot	t͡ɕiu₂₁	t͡ɕ iu ₂₁	?	259	259	?	Wang2006a	tɕiu21	maggot
4284	Jinxing	maggot	t͡sɤ̃₂₁	t͡s ɤ̃ ₂₁	?	259	259	?	Wang2006a	tsṽ21	maggot
4285	Dashi	maggot	t͡ʂo₂₁	t͡ʂ o ₂₁	?	259	259	?	Wang2006a	tʂo21	maggot
4286	Zhoucheng	maggot	t͡sɤ₂₁	t͡s ɤ ₂₁	?	259	259	?	Wang2006a	tsv21	maggot
4287	Mazhelong	maggot	zen₂₁	z e n ₂₁	?	259	259	?	Wang2006a	(zen21)	maggot
4288	Tuoluo	resin, colophony	mɛ₅₅t͡ʂi₅₅	m ɛ ₅₅ t͡ʂ i ₅₅	?	387	387	?	Wang2006a	mɛ55(tʂi55)	resin, colophony
4289	Gongxing	resin, colophony	ʐoŋ₂₁t͡ɕi₂₂	ʐ o ŋ ₂₁ t͡ɕ i ₂₂	?	387	387	?	Wang2006a	(ʐoŋ21tɕi22)	resin, colophony
4290	Enqi	resin, colophony	mɛ₂₄t͡sɿ₂₄	m ɛ ₂₄ t͡s ɿ ₂₄	?	387	387	?	Wang2006a	mE24(tsɿ24)	resin, colophony
4291	Ega	resin, colophony	mɛ̃₅₅t͡se₄₄	m ɛ̃ ₅₅ t͡s e ₄₄	?	387	387	?	Wang2006a	mɛ̃55(tse44)	resin, colophony
4292	Jinman	resin, colophony	me₅₅t͡ʂi₅₅	m e ₅₅ t͡ʂ i ₅₅	?	387	387	?	Wang2006a	me55(tʂi55)	resin, colophony
4293	Jinxing	resin, colophony	mɛ₅₅t͡si₃₃t͡si₃₃	m ɛ ₅₅ t͡s i ₃₃ t͡s i ₃₃	?	387	387	?	Wang2006a	mɛ55(tsi33tsi33)	resin, colophony
4294	Dashi	resin, colophony	me₃₅t͡ʂi₃₅	m e ₃₅ t͡ʂ i ₃₅	?	387	387	?	Wang2006a	me35(tʂi35)	resin, colophony
4295	Zhoucheng	resin, colophony	jou₂₁t͡si₅₅	j ou ₂₁ t͡s i ₅₅	?	387	387	?	Wang2006a	(jou21tsi55)	resin, colophony
4296	Mazhelong	resin, colophony	mɛ₅₅t͡si₃₃	m ɛ ₅₅ t͡s i ₃₃	?	387	387	?	Wang2006a	mɛ55(tsi33)	resin, colophony
4297	Tuoluo	pine torches	mɛ₅₅t͡ʂi₅₅	m ɛ ₅₅ t͡ʂ i ₅₅	?	388	388	?	Wang2006a	mɛ55(tʂi55)	pine torches
4298	Gongxing	pine torches	men₅₅₅	m e n ₅₅₅	?	388	388	?	Wang2006a	men555	pine torches
4299	Enqi	pine torches	mɛ₂₄	m ɛ ₂₄	?	388	388	?	Wang2006a	mE24	pine torches
4300	Ega	pine torches	ɕy₅₅ɣo₂₁	ɕ y ₅₅ ɣ o ₂₁	?	388	388	?	Wang2006a	(ɕy55ɣo21)	pine torches
4301	Jinman	pine torches	u₂₂ne₂₁	u ₂₂ n e ₂₁	?	388	388	?	Wang2006a	(u22ne21)	pine torches
4302	Jinxing	pine torches	me₅₅	m e ₅₅	?	388	388	?	Wang2006a	me55	pine torches
4303	Dashi	pine torches	me₃₅	m e ₃₅	?	388	388	?	Wang2006a	me35	pine torches
4304	Tuoluo	cane, vine	mɛ₂₁	m ɛ ₂₁	?	390	390	?	Wang2006a	mɛ21	cane, vine
4305	Gongxing	cane, vine	men₄₂	m e n ₄₂	?	390	390	?	Wang2006a	men42	cane, vine
4306	Enqi	cane, vine	mɛ₄₃	m ɛ ₄₃	?	390	390	?	Wang2006a	mE43	cane, vine
4307	Ega	cane, vine	mɛ₄₂	m ɛ ₄₂	?	390	390	?	Wang2006a	mɛ42	cane, vine
4308	Jinman	cane, vine	me₄₂	m e ₄₂	?	390	390	?	Wang2006a	me42	cane, vine
4309	Jinxing	cane, vine	me₄₂	m e ₄₂	?	390	390	?	Wang2006a	me42	cane, vine
4310	Dashi	cane, vine	me₄₂	m e ₄₂	?	390	390	?	Wang2006a	me42	cane, vine
4311	Zhoucheng	cane, vine	me₂₁	m e ₂₁	?	390	390	?	Wang2006a	me21	cane, vine
4312	Mazhelong	cane, vine	me₂₁	m e ₂₁	?	390	390	?	Wang2006a	me21	cane, vine
4313	Tuoluo	Chinese chestnut	t͡ɕʰi₅₅ji₄₂	t͡ɕʰ i ₅₅ j i ₄₂	?	397	397	?	Wang2006a	tɕʰi55(ji42)	Chinese chestnut
4314	Gongxing	Chinese chestnut	t͡ɕʰi₅₅ʑi₂₁	t͡ɕʰ i ₅₅ ʑ i ₂₁	?	397	397	?	Wang2006a	tɕʰi55(ʑi21	Chinese chestnut
4315	Enqi	Chinese chestnut	t͡sʰi₅₅jɯ₂₁	t͡sʰ i ₅₅ j ɯ ₂₁	?	397	397	?	Wang2006a	tsʰi55(jɯ21)	Chinese chestnut
4316	Ega	Chinese chestnut	ɕu₂₂t͡sʰi₅₅ji₂₁lɛ₂₁	ɕ u ₂₂ t͡sʰ i ₅₅ j i ₂₁ l ɛ ₂₁	?	397	397	?	Wang2006a	(ɕu22)tsʰi55(ji21lɛ21)	Chinese chestnut
4317	Jinman	Chinese chestnut	xa₅₅ne₂₂₁	x a ₅₅ n e ₂₂₁	?	397	397	?	Wang2006a	(xa55ne221)	Chinese chestnut
4318	Jinxing	Chinese chestnut	t͡ɕʰi₅₅ji₃₁	t͡ɕʰ i ₅₅ j i ₃₁	?	397	397	?	Wang2006a	tɕʰi55(ji31)	Chinese chestnut
4319	Dashi	Chinese chestnut	t͡ɕʰli₄₄	t͡ɕʰ l i ₄₄	?	397	397	?	Wang2006a	tɕʰ(li44)	Chinese chestnut
4320	Mazhelong	Chinese chestnut	to₂₁ju₂₁	t o ₂₁ j u ₂₁	?	397	397	?	Wang2006a	(to21ju21)	Chinese chestnut
4321	Tuoluo	paddy rice	ʁɔ₃₅	ʁ ɔ ₃₅	?	403	403	?	Wang2006a	ʁɔ35	paddy rice
4322	Gongxing	paddy rice	sao₄₂	s ao ₄₂	?	403	403	?	Wang2006a	sao42	paddy rice
4323	Enqi	paddy rice	so₅₅	s o ₅₅	?	403	403	?	Wang2006a	so55	paddy rice
4324	Ega	paddy rice	qo₂₁	q o ₂₁	?	403	403	?	Wang2006a	qo21	paddy rice
4325	Jinman	paddy rice	qo₂₁	q o ₂₁	?	403	403	?	Wang2006a	qo21	paddy rice
4326	Jinxing	paddy rice	kou₂₁	k ou ₂₁	?	403	403	?	Wang2006a	kou21	paddy rice
4327	Dashi	paddy rice	ku₂₁	k u ₂₁	?	403	403	?	Wang2006a	ku21	paddy rice
4328	Zhoucheng	paddy rice	si₅₅	s i ₅₅	?	403	403	?	Wang2006a	si55	paddy rice
4329	Mazhelong	paddy rice	sɤ₄₄	s ɤ ₄₄	?	403	403	?	Wang2006a	sv44	paddy rice
4330	Tuoluo	(rice) seedling	ʐɚ₃₅	ʐ ɚ ₃₅	?	406	406	?	Wang2006a	ʐɚ35	(rice) seedling
4331	Gongxing	(rice) seedling	dʐi₂₁	d ʐ i ₂₁	?	406	406	?	Wang2006a	dʐi21	(rice) seedling
4332	Enqi	(rice) seedling	t͡sɿ₂₁	t͡s ɿ ₂₁	?	406	406	?	Wang2006a	tsɿ21	(rice) seedling
4333	Ega	(rice) seedling	t͡sɛ₂₁	t͡s ɛ ₂₁	?	406	406	?	Wang2006a	tsɛ21	(rice) seedling
4334	Jinman	(rice) seedling	t͡ɕɚ₂₁	t͡ɕ ɚ ₂₁	?	406	406	?	Wang2006a	tɕɚ21	(rice) seedling
4335	Jinxing	(rice) seedling	t͡sa₂₁	t͡s a ₂₁	?	406	406	?	Wang2006a	tsa21	(rice) seedling
4336	Dashi	(rice) seedling	t͡ʂi₃₁	t͡ʂ i ₃₁	?	406	406	?	Wang2006a	tʂi31	(rice) seedling
4337	Zhoucheng	(rice) seedling	t͡si₂₁	t͡s i ₂₁	?	406	406	?	Wang2006a	tsi21	(rice) seedling
4338	Mazhelong	(rice) seedling	d͡zi₂₁	d͡z i ₂₁	?	406	406	?	Wang2006a	dzi21	(rice) seedling
4339	Tuoluo	ear; spike	tjuaŋ₃₃	t j ua ŋ ₃₃	?	407	407	?	Wang2006a	tjuaŋ33	ear; spike
4340	Gongxing	ear; spike	t͡suan₂₂	t͡s ua n ₂₂	?	407	407	?	Wang2006a	tsuan22	ear; spike
4341	Enqi	ear; spike	tzɛ₂₂	t z ɛ ₂₂	?	407	407	?	Wang2006a	tzE22	ear; spike
4342	Ega	ear; spike	t͡ɕya₂₂	t͡ɕ ya ₂₂	?	407	407	?	Wang2006a	tɕya22	ear; spike
4343	Jinman	ear; spike	ʈõ₂₂	ʈ õ ₂₂	?	407	407	?	Wang2006a	ʈõ22	ear; spike
4344	Jinxing	ear; spike	t͡suan₃₃	t͡s ua n ₃₃	?	407	407	?	Wang2006a	tsuan33	ear; spike
4345	Dashi	ear; spike	t͡ʂuɚ̃₃₃	t͡ʂ uɚ̃ ₃₃	?	407	407	?	Wang2006a	tʂuɚ̃33	ear; spike
4346	Zhoucheng	ear; spike	t͡suɛ₃₃	t͡s uɛ ₃₃	?	407	407	?	Wang2006a	tsuɛ33	ear; spike
4347	Mazhelong	ear; spike	t͡suɚ₃₃	t͡s uɚ ₃₃	?	407	407	?	Wang2006a	tsuɚ33	ear; spike
4348	Tuoluo	rice straw	mo₄₂	m o ₄₂	?	408	408	?	Wang2006a	mo42	rice straw
4349	Gongxing	rice straw	ɢao₂₄t͡ɕy₂₂	ɢ ao ₂₄ t͡ɕ y ₂₂	?	408	408	?	Wang2006a	(ɢao24tɕy22)	rice straw
4350	Enqi	rice straw	ma₅₅	m a ₅₅	?	408	408	?	Wang2006a	ma55	rice straw
4351	Ega	rice straw	qua₄₄	q ua ₄₄	?	408	408	?	Wang2006a	(qua44)	rice straw
4352	Jinman	rice straw	qo₅₅qua₅₅	q o ₅₅ q ua ₅₅	?	408	408	?	Wang2006a	(qo55qua55)	rice straw
4353	Jinxing	rice straw	mɑ̃₄₄	m ɑ̃ ₄₄	?	408	408	?	Wang2006a	mɑ̃44	rice straw
4354	Dashi	rice straw	ma₄₄	m a ₄₄	?	408	408	?	Wang2006a	ma44	rice straw
4355	Zhoucheng	rice straw	ma₅₅	m a ₅₅	?	408	408	?	Wang2006a	ma55	rice straw
4356	Mazhelong	rice straw	ma₄₄	m a ₄₄	?	408	408	?	Wang2006a	ma44	rice straw
4357	Tuoluo	wheat	mɯ₄₂	m ɯ ₄₂	?	410	410	?	Wang2006a	mɯ42	wheat
4358	Gongxing	wheat	moŋ₂₄	m o ŋ ₂₄	?	410	410	?	Wang2006a	moŋ24	wheat
4359	Enqi	wheat	mɯ₅₅	m ɯ ₅₅	?	410	410	?	Wang2006a	mɯ55	wheat
4360	Ega	wheat	mɯ₅₅	m ɯ ₅₅	?	410	410	?	Wang2006a	mɯ55	wheat
4361	Jinman	wheat	mɯ₅₅	m ɯ ₅₅	?	410	410	?	Wang2006a	mɯ55	wheat
4362	Jinxing	wheat	mǝ̃₄₄	m ǝ̃ ₄₄	?	410	410	?	Wang2006a	mǝ̃44	wheat
4363	Dashi	wheat	mǝ̃₄₄	m ǝ̃ ₄₄	?	410	410	?	Wang2006a	mǝ̃44	wheat
4364	Zhoucheng	wheat	mɯ₄₄	m ɯ ₄₄	?	410	410	?	Wang2006a	mɯ44	wheat
4365	Mazhelong	wheat	mǝɯ̃₄₄	m ǝɯ̃ ₄₄	?	410	410	?	Wang2006a	mǝɯ̃44	wheat
4366	Gongxing	wheat straw	moŋ₂₄qua₂₄	m o ŋ ₂₄ q ua ₂₄	?	414	414	?	Wang2006a	moŋ24qua24	wheat straw
4367	Enqi	wheat straw	mɯ₅₅qua₅₅	m ɯ ₅₅ q ua ₅₅	?	414	414	?	Wang2006a	mɯ55qua55	wheat straw
4368	Ega	wheat straw	mɯ₅₅qua₄₄	m ɯ ₅₅ q ua ₄₄	?	414	414	?	Wang2006a	mɯ55qua44	wheat straw
4369	Jinman	wheat straw	mɯ₅₅qua₅₅	m ɯ ₅₅ q ua ₅₅	?	414	414	?	Wang2006a	mɯ55qua55	wheat straw
4370	Jinxing	wheat straw	mǝ̃kuɑ₄₄	m ǝ̃ k uɑ ₄₄	?	414	414	?	Wang2006a	mǝ̃kuɑ44	wheat straw
4371	Dashi	wheat straw	mǝ̃kua₄₄	m ǝ̃ k ua ₄₄	?	414	414	?	Wang2006a	mǝ̃kua44	wheat straw
4372	Mazhelong	wheat straw	kua₄₄	k ua ₄₄	?	414	414	?	Wang2006a	kua44	wheat straw
4373	Tuoluo	onion, scallion	t͡sʰɤ₅₅	t͡sʰ ɤ ₅₅	?	423	423	?	Wang2006a	tsʰv55	onion, scallion
4374	Gongxing	onion, scallion	t͡sʰ₅₅	t͡sʰ ₅₅	?	423	423	?	Wang2006a	tsʰ55	onion, scallion
4375	Enqi	onion, scallion	t͡sʰo₄₂	t͡sʰ o ₄₂	?	423	423	?	Wang2006a	tsʰo42	onion, scallion
4376	Ega	onion, scallion	t͡sʰoŋ₅₅	t͡sʰ o ŋ ₅₅	?	423	423	?	Wang2006a	tsʰoŋ55	onion, scallion
4377	Jinman	onion, scallion	t͡sʰo₅₅	t͡sʰ o ₅₅	?	423	423	?	Wang2006a	tsʰo55	onion, scallion
4378	Jinxing	onion, scallion	t͡sʰɤ̃₅₅	t͡sʰ ɤ̃ ₅₅	?	423	423	?	Wang2006a	tsʰṽ55	onion, scallion
4379	Dashi	onion, scallion	t͡sʰõ₅₅	t͡sʰ õ ₅₅	?	423	423	?	Wang2006a	tsʰõ55	onion, scallion
4380	Zhoucheng	onion, scallion	t͡sʰi₅₅	t͡sʰ i ₅₅	?	423	423	?	Wang2006a	tsʰi55[/fi31tsʰu31]	onion, scallion
4381	Mazhelong	onion, scallion	t͡sʰoŋ₅₅	t͡sʰ o ŋ ₅₅	?	423	423	?	Wang2006a	tsʰoŋ55	onion, scallion
4382	Tuoluo	garlic	soŋ₂₁	s o ŋ ₂₁	?	424	424	?	Wang2006a	soŋ21	garlic
4383	Gongxing	garlic	suaŋ₄₂	s ua ŋ ₄₂	?	424	424	?	Wang2006a	suaŋ42	garlic
4384	Enqi	garlic	ɕyɛ₄₂	ɕ yɛ ₄₂	?	424	424	?	Wang2006a	ɕyE42	garlic
4385	Ega	garlic	sua₄₂	s ua ₄₂	?	424	424	?	Wang2006a	sua42	garlic
4386	Jinman	garlic	suã₄₂	s uã ₄₂	?	424	424	?	Wang2006a	suã42	garlic
4387	Jinxing	garlic	suɑ₃₁	s uɑ ₃₁	?	424	424	?	Wang2006a	suɑ31	garlic
4388	Dashi	garlic	sʰuaŋ₃₁	sʰ ua ŋ ₃₁	?	424	424	?	Wang2006a	sʰuaŋ31	garlic
4389	Zhoucheng	garlic	sua₃₁	s ua ₃₁	?	424	424	?	Wang2006a	sua31	garlic
4390	Mazhelong	garlic	suaŋ₂₁	s ua ŋ ₂₁	?	424	424	?	Wang2006a	suaŋ21	garlic
4391	Tuoluo	ginger	koŋ₅₅	k o ŋ ₅₅	?	425	425	?	Wang2006a	koŋ55	ginger
4392	Gongxing	ginger	koŋ₅₅	k o ŋ ₅₅	?	425	425	?	Wang2006a	koŋ55	ginger
4393	Enqi	ginger	ko₂₄	k o ₂₄	?	425	425	?	Wang2006a	ko24	ginger
4394	Ega	ginger	ku₅₅	k u ₅₅	?	425	425	?	Wang2006a	ku55	ginger
4395	Jinman	ginger	koŋ₅₅	k o ŋ ₅₅	?	425	425	?	Wang2006a	koŋ55	ginger
4396	Jinxing	ginger	kõ₅₅	k õ ₅₅	?	425	425	?	Wang2006a	kõ55	ginger
