ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	PORTUGUESE
420	TAN	ant sp.	~beka	~beka	*meka	44	formiga sp.
421	KUB	ant sp.	~bea	~bea	*meka	44	formiga sp.
422	DES	ant sp.	~bega	~bega	*meka	44	formiga sp.
423	BAS	ant sp.	~beka	~beka	*meka	44	formiga sp.
424	TUK	ant sp.	~beka	~beka	*meka	44	formiga sp.
425	KAR	ant sp.	~beka	~beka	*meka	44	formiga sp.
426	WAN	ant sp.	~bat∫ɨ	~bat∫ɨ	*meka	44	formiga sp.
427	SIO	hummingbird	mimi	mimi	*mimi	45	beija-flor
428	SEK	hummingbird	mimi	mimi	*mimi	45	beija-flor
429	KOR	hummingbird	mimi	mimi	*mimi	45	beija-flor
430	MAL	hummingbird	mimi	mimi	*mimi	45	beija-flor
431	KUE	hummingbird	mimi	mimi	*mimi	45	beija-flor
432	KUB	hummingbird	~bibi	~bibi	*mimi	45	beija-flor
433	DES	hummingbird	~bibi	~bibi	*mimi	45	beija-flor
434	BAS	hummingbird	~bibi	~bibi	*mimi	45	beija-flor
435	TUK	hummingbird	~bibi	~bibi	*mimi	45	beija-flor
436	KAR	hummingbird	~bibi	~bibi	*mimi	45	beija-flor
437	WAN	hummingbird	~wiʔbi	~wiʔbi	*mimi	45	beija-flor
438	SIO	you all	mɨsakwa	mɨsakwa	*mɨ-tja	46	vocês
439	SEK	you all	mɨsaru	mɨsaru	*mɨ-tja	46	vocês
440	KOR	you all	mɨsanɨkhona	mɨsanɨkhona	*mɨ-tja	46	vocês
441	MAL	you all	mɨsa	mɨsa	*mɨ-tja	46	vocês
442	KUE	you all	mɨta	mɨta	*mɨ-tja	46	vocês
443	TAN	you all	~biha	~biha	*mɨ-tja	46	vocês
444	KUB	you all	~bɨha	~bɨha	*mɨ-tja	46	vocês
445	DES	you all	~bɨa	~bɨa	*mɨ-tja	46	vocês
446	BAS	you all	~bɨa	~bɨa	*mɨ-tja	46	vocês
447	TUK	you all	~bɨsa	~bɨsa	*mɨ-tja	46	vocês
448	KAR	you all	~bɨsa	~bɨsa	*mɨ-tja	46	vocês
449	WAN	you all	~bɨha	~bɨha	*mɨ-tja	46	vocês
450	SIO	tobacco	muto	muto	*mɨtʔo	47	tabaco
451	SEK	tobacco	mɨto	mɨto	*mɨtʔo	47	tabaco
452	KOR	tobacco	mɨto	mɨto	*mɨtʔo	47	tabaco
453	MAL	tobacco	mɨto	mɨto	*mɨtʔo	47	tabaco
454	KUE	tobacco	mɨno	mɨno	*mɨtʔo	47	tabaco
455	TAN	tobacco	~biʔro	~biʔro	*mɨtʔo	47	tabaco
456	DES	tobacco	~budu	~budu	*mɨtʔo	47	tabaco
457	BAS	tobacco	~bɨʔdo	~bɨʔdo	*mɨtʔo	47	tabaco
458	TUK	tobacco	~bɨʔdo	~bɨʔdo	*mɨtʔo	47	tabaco
459	KAR	tobacco	~bɨdo	~bɨdo	*mɨtʔo	47	tabaco
460	WAN	tobacco	~bɨʔto	~bɨʔto	*mɨtʔo	47	tabaco
461	SIO	mosquito	mɨte	mɨte	*mɨte	48	caba
462	SEK	mosquito	muʔte	muʔte	*mɨte	48	caba
463	KOR	mosquito	mɨthe	mɨthe	*mɨte	48	caba
464	MAL	mosquito	mɨte	mɨte	*mɨte	48	caba
465	KUE	mosquito	mɨne	mɨne	*mɨte	48	caba
466	TAN	mosquito	~biri	~biri	*mɨte	48	caba
467	KUB	mosquito	~bɨte	~bɨte	*mɨte	48	caba
468	DES	mosquito	~bɨde	~bɨde	*mɨte	48	caba
469	BAS	mosquito	~bɨte	~bɨte	*mɨte	48	caba
470	TUK	mosquito	~bɨte	~bɨte	*mɨte	48	caba
471	KAR	mosquito	~bɨte	~bɨte	*mɨte	48	caba
472	WAN	mosquito	~bɨte	~bɨte	*mɨte	48	caba
473	SIO	charcoal (2)	neo	neo	*neo	49	carvão
474	SEK	charcoal (2)	~deo	~deo	*neo	49	carvão
475	KOR	charcoal (2)	~deo	~deo	*neo	49	carvão
476	MAL	charcoal (2)	neo	neo	*neo	49	carvão
477	KUB	charcoal (2)	~deo	~deo	*neo	49	carvão
478	SIO	buriti palm	neʔe	neʔe	*neʔe	50	buriti
479	SEK	buriti palm	~deʔe	~deʔe	*neʔe	50	buriti
480	KOR	buriti palm	neʔe	neʔe	*neʔe	50	buriti
481	KUB	buriti palm	~dei	~dei	*neʔe	50	buriti
482	DES	buriti palm	~deʔe	~deʔe	*neʔe	50	buriti
483	BAS	buriti palm	~ree	~ree	*neʔe	50	buriti
484	TUK	buriti palm	~deʔe	~deʔe	*neʔe	50	buriti
485	KAR	buriti palm	~dee	~dee	*neʔe	50	buriti
486	WAN	buriti palm	~daʔa	~daʔa	*neʔe	50	buriti
487	TAN	charcoal (1)	~diti	~diti	*nitti	51	carvão
488	DES	charcoal (1)	~diti	~diti	*nitti	51	carvão
489	BAS	charcoal (1)	~riti	~riti	*nitti	51	carvão
490	TUK	charcoal (1)	~diti	~diti	*nitti	51	carvão
491	KAR	charcoal (1)	~diti	~diti	*nitti	51	carvão
492	WAN	charcoal (1)	~diti	~diti	*nitti	51	carvão
493	SIO	stop	nɨka	nɨka	*nɨkʔV	52	parar
494	SEK	stop	dɨ̃ka	dɨ̃ka	*nɨkʔV	52	parar
495	KOR	stop	nɨkha	nɨkha	*nɨkʔV	52	parar
496	MAL	stop	nɨka	nɨka	*nɨkʔV	52	parar
497	KUB	stop	~dú	~dú	*nɨkʔV	52	parar
498	DES	stop	~dugu	~dugu	*nɨkʔV	52	parar
499	BAS	stop	~rɨgo	~rɨgo	*nɨkʔV	52	parar
500	TUK	stop	~dɨʔka	~dɨʔka	*nɨkʔV	52	parar
501	KAR	stop	~dɨka	~dɨka	*nɨkʔV	52	parar
502	MAL	penis	noa	noa	*no-	53	pênis
503	KUE	penis	noni	noni	*no-	53	pênis
504	TAN	penis	rũri	rũri	*no-	53	pênis
505	KUB	penis	~doe	~doe	*no-	53	pênis
506	TUK	penis	~dudi	~dudi	*no-	53	pênis
507	KAR	penis	~dudi	~dudi	*no-	53	pênis
508	WAN	penis	~dudɨ	~dudɨ	*no-	53	pênis
509	SIO	to cry	oi	oi	*o-	54	chorar
510	SEK	to cry	oi	oi	*o-	54	chorar
511	KOR	to cry	oi	oi	*o-	54	chorar
512	MAL	to cry	oi	oi	*o-	54	chorar
513	KUE	to cry	?	?	*o-	54	chorar
514	KUB	to cry	o	o	*o-	54	chorar
515	DES	to cry	oti	oti	*o-	54	chorar
516	BAS	to cry	oti	oti	*o-	54	chorar
517	KAR	to cry	oti	oti	*o-	54	chorar
518	WAN	to cry	ti	ti	*o-	54	chorar
519	SIO	bat	ojo	ojo	*ojo	55	morcego
520	SEK	bat	ojo	ojo	*ojo	55	morcego
521	KOR	bat	ojo	ojo	*ojo	55	morcego
522	MAL	bat	ojo	ojo	*ojo	55	morcego
523	KUE	bat	hoijo	hoijo	*ojo	55	morcego
524	TAN	bat	ojo	ojo	*ojo	55	morcego
525	KUB	bat	ojo	ojo	*ojo	55	morcego
526	DES	bat	ojo	ojo	*ojo	55	morcego
527	BAS	bat	oco	oco	*ojo	55	morcego
528	TUK	bat	oso	oso	*ojo	55	morcego
529	KAR	bat	oso	oso	*ojo	55	morcego
530	PLR	bat	oso	oso	*ojo	55	morcego
531	SIO	water	oko	oko	*okko	56	água
532	SEK	water	oko	oko	*okko	56	água
533	KOR	water	okho	okho	*okko	56	água
534	MAL	water	oko	oko	*okko	56	água
535	KUE	water	kotapu	kotapu	*okko	56	água
536	TAN	water	oko	oko	*okko	56	água
537	KUB	water	oko	oko	*okko	56	água
538	DES	water	deko	deko	*okko	56	água
539	BAS	water	oko	oko	*okko	56	água
540	TUK	water	oko	oko	*okko	56	água
541	KAR	water	oko	oko	*okko	56	água
542	WAN	water	ko	ko	*okko	56	água
543	SIO	plant	ote	ote	*otte	57	planta
544	SEK	plant	ote	ote	*otte	57	planta
545	KOR	plant	othe	othe	*otte	57	planta
546	MAL	plant	ote	ote	*otte	57	planta
547	TAN	plant	hoto	hoto	*otte	57	planta
548	KUB	plant	ote	ote	*otte	57	planta
549	DES	plant	ote	ote	*otte	57	planta
550	BAS	plant	ote	ote	*otte	57	planta
551	TUK	plant	ote	ote	*otte	57	planta
552	KAR	plant	ote	ote	*otte	57	planta
553	WAN	plant	toa	toa	*otte	57	planta
554	SIO	larva	pʔeko	pʔeko	*pʔekko	58	larva
555	SEK	larva	peko	peko	*pʔekko	58	larva
556	KOR	larva	pekho	pekho	*pʔekko	58	larva
557	MAL	larva	beku	beku	*pʔekko	58	larva
558	DES	larva	beka	beka	*pʔekko	58	larva
559	BAS	larva	beko	beko	*pʔekko	58	larva
560	TUK	larva	beko	beko	*pʔekko	58	larva
561	KAR	larva	beko	beko	*pʔekko	58	larva
562	SIO	spider	~hɨhɨ	~hɨhɨ	*pʔɨpɨ	59	aranha
563	KOR	spider	~hɨhɨ	~hɨhɨ	*pʔɨpɨ	59	aranha
564	MAL	spider	~hɨhɨ	~hɨhɨ	*pʔɨpɨ	59	aranha
565	KUE	spider	hehe	hehe	*pʔɨpɨ	59	aranha
566	KUB	spider	~pɨpɨ	~pɨpɨ	*pʔɨpɨ	59	aranha
567	DES	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha
568	BAS	spider	bɨhɨ	bɨhɨ	*pʔɨpɨ	59	aranha
569	TUK	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha
570	KAR	spider	bɨpɨ	bɨpɨ	*pʔɨpɨ	59	aranha
571	WAN	spider	wɨpɨ	wɨpɨ	*pʔɨpɨ	59	aranha
572	KUE	termite	poru	poru	*pʔutu	60	cupim
573	TAN	termite	butu	butu	*pʔutu	60	cupim
574	DES	termite	budu	budu	*pʔutu	60	cupim
575	BAS	termite	butu	butu	*pʔutu	60	cupim
576	TUK	termite	butu	butu	*pʔutu	60	cupim
577	KAR	termite	butu	butu	*pʔutu	60	cupim
578	WAN	termite	butu	butu	*pʔutu	60	cupim
579	SIO	people	pʔã-i	pʔã+i	*pʔã-tjã	61	pessoa(s)
580	SEK	people	pã-i	pã+i	*pʔã-tjã	61	pessoa(s)
581	KOR	people	pã-i	pã+i	*pʔã-tjã	61	pessoa(s)
582	MAL	people	~ba-i	~ba+i	*pʔã-tjã	61	pessoa(s)
583	KUE	people	matarɨ	matarɨ	*pʔã-tjã	61	pessoa(s)
584	TAN	people	~baha	~baha	*pʔã-tjã	61	pessoa(s)
585	KUB	people	~baha	~baha	*pʔã-tjã	61	pessoa(s)
586	BAS	people	~baca	~baca	*pʔã-tjã	61	pessoa(s)
587	TUK	people	~basa	~basa	*pʔã-tjã	61	pessoa(s)
588	KAR	people	~basa	~basa	*pʔã-tjã	61	pessoa(s)
589	WAN	people	~baha	~baha	*pʔã-tjã	61	pessoa(s)
590	MAL	dance	tɨte	tɨte	*pʔaja	62	dançar
591	TAN	dance	baja	baja	*pʔaja	62	dançar
592	KUB	dance	baja	baja	*pʔaja	62	dançar
593	DES	dance	baja	baja	*pʔaja	62	dançar
594	BAS	dance	baca	baca	*pʔaja	62	dançar
595	TUK	dance	basa	basa	*pʔaja	62	dançar
596	KAR	dance	basa	basa	*pʔaja	62	dançar
597	WAN	dance	basa	basa	*pʔaja	62	dançar
598	KUB	fishing net	pápi	pápi	*pʔapi	63	rede de pesca
599	BAS	fishing net	bahi	bahi	*pʔapi	63	rede de pesca
600	KAR	fishing net	bapi	bapi	*pʔapi	63	rede de pesca
601	SIO	inga (fruit sp.)	pʔene	pʔene	*pʔene	64	ingá
602	SEK	inga (fruit sp.)	pedẽ	pedẽ	*pʔene	64	ingá
603	KOR	inga (fruit sp.)	pene	pene	*pʔene	64	ingá
604	MAL	inga (fruit sp.)	mene	mene	*pʔene	64	ingá
605	KUE	inga (fruit sp.)	meʔne	meʔne	*pʔene	64	ingá
606	KUB	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá
607	DES	inga (fruit sp.)	~behe	~behe	*pʔene	64	ingá
608	BAS	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá
609	TUK	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá
610	KAR	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá
611	WAN	inga (fruit sp.)	~bede	~bede	*pʔene	64	ingá
612	SIO	duck	pʔete	pʔete	*pʔete	65	pato
613	SEK	duck	pete	pete	*pʔete	65	pato
614	KOR	duck	pete	pete	*pʔete	65	pato
615	KUB	duck	bede	bede	*pʔete	65	pato
616	SIO	chili	pʔia	pʔia	*pʔia	66	pimenta
617	SEK	chili	pia	pia	*pʔia	66	pimenta
618	KOR	chili	pia	pia	*pʔia	66	pimenta
619	MAL	chili	bia	bia	*pʔia	66	pimenta
620	KUE	chili	bia	bia	*pʔia	66	pimenta
621	TAN	chili	bia	bia	*pʔia	66	pimenta
622	KUB	chili	bia	bia	*pʔia	66	pimenta
623	DES	chili	bia	bia	*pʔia	66	pimenta
624	BAS	chili	bia	bia	*pʔia	66	pimenta
625	TUK	chili	bia	bia	*pʔia	66	pimenta
626	KAR	chili	bia	bia	*pʔia	66	pimenta
627	WAN	chili	bia	bia	*pʔia	66	pimenta
628	PLR	chili	bia	bia	*pʔia	66	pimenta
629	KUB	squeeze	pipo	pipo	*pʔipo	67	espremer
630	DES	squeeze	bipi	bipi	*pʔipo	67	espremer
631	BAS	squeeze	buhe	buhe	*pʔipo	67	espremer
632	TUK	squeeze	bipe	bipe	*pʔipo	67	espremer
633	WAN	squeeze	wipe	wipe	*pʔipo	67	espremer
634	KUE	elder	bɨikɨ	bɨikɨ	*pʔɨkɨ	68	velho
635	KUB	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho
636	DES	elder	bɨgɨ	bɨgɨ	*pʔɨkɨ	68	velho
637	BAS	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho
638	TUK	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho
639	KAR	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho
640	WAN	elder	bɨkɨ	bɨkɨ	*pʔɨkɨ	68	velho
641	SIO	white	pʔo	pʔo	*pʔo-	69	branco
642	SEK	white	po	po	*pʔo-	69	branco
643	KOR	white	po	po	*pʔo-	69	branco
644	MAL	white	bo	bo	*pʔo-	69	branco
645	KUE	white	po(le)	po	*pʔo-	69	branco
646	TAN	white	boi	boi	*pʔo-	69	branco
647	KUB	white	bo	bo	*pʔo-	69	branco
648	DES	white	bode	bode	*pʔo-	69	branco
649	BAS	white	boti	boti	*pʔo-	69	branco
650	TUK	white	buti	buti	*pʔo-	69	branco
651	KAR	white	boti	boti	*pʔo-	69	branco
652	WAN	white	boʔta	boʔta	*pʔo-	69	branco
653	SEK	toad sp.	hoho	hoho	*pʔopa	70	sapo
654	KOR	toad sp.	hoho	hoho	*pʔopa	70	sapo
655	KUB	toad sp.	popo	popo	*pʔopa	70	sapo
656	DES	toad sp.	moma	moma	*pʔopa	70	sapo
657	BAS	toad sp.	momo	momo	*pʔopa	70	sapo
658	TUK	toad sp.	moʔmo	moʔmo	*pʔopa	70	sapo
659	WAN	toad sp.	waʔmu	waʔmu	*pʔopa	70	sapo
660	SEK	break	hoʔa	hoʔa	*pʔope	71	quebrar
661	KOR	break	hũhe	hũhe	*pʔope	71	quebrar
662	MAL	break	hoa	hoa	*pʔope	71	quebrar
663	KUB	break	pope	pope	*pʔope	71	quebrar
664	DES	break	bohe	bohe	*pʔope	71	quebrar
665	BAS	break	bohe	bohe	*pʔope	71	quebrar
666	TUK	break	bope	bope	*pʔope	71	quebrar
667	WAN	break	poʔa	poʔa	*pʔope	71	quebrar
668	SIO	urucum (achiote)	pʔõsa	pʔõsa	*pʔõsa	72	urucm
669	SEK	urucum (achiote)	pʔõsa	pʔõsa	*pʔõsa	72	urucm
670	KOR	urucum (achiote)	pũsa	pũsa	*pʔõsa	72	urucm
671	MAL	urucum (achiote)	bosa	bosa	*pʔõsa	72	urucm
672	KUE	urucum (achiote)	muhia	muhia	*pʔõsa	72	urucm
673	TAN	urucum (achiote)	~buha	~buha	*pʔõsa	72	urucm
674	KUB	urucum (achiote)	~buha	~buha	*pʔõsa	72	urucm
675	DES	urucum (achiote)	~busa	~busa	*pʔõsa	72	urucm
676	BAS	urucum (achiote)	~buca	~buca	*pʔõsa	72	urucm
677	TUK	urucum (achiote)	~bosa	~bosa	*pʔõsa	72	urucm
678	KAR	urucum (achiote)	~busa	~busa	*pʔõsa	72	urucm
679	WAN	urucum (achiote)	~basi sõa	~basi_sõa	*pʔõsa	72	urucm
680	KUE	aracu fish	polekia	polekia	*pʔotʔika	73	aracu fish
681	TAN	aracu fish	botaka	botaka	*pʔotʔika	73	aracu fish
682	KUB	aracu fish	bodika	bodika	*pʔotʔika	73	aracu fish
683	DES	aracu fish	bodeka	bodeka	*pʔotʔika	73	aracu fish
684	BAS	aracu fish	bodeka	bodeka	*pʔotʔika	73	aracu fish
685	TUK	aracu fish	boʔtea	boʔtea	*pʔotʔika	73	aracu fish
686	KAR	aracu fish	boteka	boteka	*pʔotʔika	73	aracu fish
687	WAN	aracu fish	boʔtea	boʔtea	*pʔotʔika	73	aracu fish
688	SIO	swell	huhu	huhu	*pʔupi	74	inchação
689	MAL	swell	huhu	huhu	*pʔupi	74	inchação
690	TAN	swell	pĩpi	pĩpi	*pʔupi	74	inchação
691	DES	swell	bihi	bihi	*pʔupi	74	inchação
692	BAS	swell	~bihi	~bihi	*pʔupi	74	inchação
693	TUK	swell	bipi	bipi	*pʔupi	74	inchação
694	WAN	swell	wipi	wipi	*pʔupi	74	inchação
695	SIO	father	hakɨ	hakɨ	*pa-kɨ	75	pai
696	SEK	father	hakɨ	hakɨ	*pa-kɨ	75	pai
697	KOR	father	hakhɨ	hakhɨ	*pa-kɨ	75	pai
698	MAL	father	hakɨ	hakɨ	*pa-kɨ	75	pai
699	KUE	father	hakɨ	hakɨ	*pa-kɨ	75	pai
700	TAN	father	paki	paki	*pa-kɨ	75	pai
701	KUB	father	pakɨ	pakɨ	*pa-kɨ	75	pai
702	DES	father	pagɨ	pagɨ	*pa-kɨ	75	pai
703	BAS	father	hakɨ	hakɨ	*pa-kɨ	75	pai
704	TUK	father	pakɨ	pakɨ	*pa-kɨ	75	pai
705	KAR	father	pakɨ	pakɨ	*pa-kɨ	75	pai
706	WAN	father	phɨkɨ	phɨkɨ	*pa-kɨ	75	pai
707	SIO	big	hai	hai	*pahi	76	grande
708	SEK	big	hai	hai	*pahi	76	grande
709	MAL	big	hai	hai	*pahi	76	grande
710	BAS	big	hai	hai	*pahi	76	grande
711	TUK	big	pahi	pahi	*pahi	76	grande
712	KAR	big	pai	pai	*pahi	76	grande
713	PLR	big	pahi	pahi	*pahi	76	grande
714	SIO	armadillo	hãmu	hãmu	*pãmu	77	tatu
715	SEK	armadillo	hãmo	hãmo	*pãmu	77	tatu
716	KOR	armadillo	hamu	hamu	*pãmu	77	tatu
717	KUE	armadillo	hamu	hamu	*pãmu	77	tatu
718	TAN	armadillo	~pabu	~pabu	*pãmu	77	tatu
719	KUB	armadillo	~pabu	~pabu	*pãmu	77	tatu
720	DES	armadillo	~pabo	~pabo	*pãmu	77	tatu
721	BAS	armadillo	~habo	~habo	*pãmu	77	tatu
722	TUK	armadillo	~pabo	~pabo	*pãmu	77	tatu
723	KAR	armadillo	~pabo	~pabo	*pãmu	77	tatu
724	WAN	armadillo	~pabo	~pabo	*pãmu	77	tatu
725	PLR	armadillo	~pabo	~pabo	*pãmu	77	tatu
726	DES	float	pája	pája	*paʔja	78	flutuar
727	BAS	float	haja	haja	*paʔja	78	flutuar
728	TUK	float	paʔsa	paʔsa	*paʔja	78	flutuar
729	KAR	float	pasa	pasa	*paʔja	78	flutuar
730	WAN	float	paʔsa	paʔsa	*paʔja	78	flutuar
731	SIO	fire	hẽka	hẽka	*peka	79	fogo
732	SEK	fire	heka	heka	*peka	79	fogo
733	KOR	fire	hẽkha	hẽkha	*peka	79	fogo
734	MAL	fire	heka	heka	*peka	79	fogo
735	KUE	fire	hekia	hekia	*peka	79	fogo
736	TAN	fire	peka	peka	*peka	79	fogo
737	KUB	fire	peka	peka	*peka	79	fogo
738	DES	fire	pea	pea	*peka	79	fogo
739	BAS	fire	hea	hea	*peka	79	fogo
740	TUK	fire	peka	peka	*peka	79	fogo
741	KAR	fire	pee	pee	*peka	79	fogo
742	WAN	fire	phit∫a	phit∫a	*peka	79	fogo
743	KUE	end	peti	peti	*petʔi	80	terminar
744	DES	end	peʔdea	peʔdea	*petʔi	80	terminar
745	BAS	end	hedi	hedi	*petʔi	80	terminar
746	TUK	end	peʔti	peʔti	*petʔi	80	terminar
747	WAN	end	piʔti	piʔti	*petʔi	80	terminar
748	KUE	tocandira ant	hata	hata	*piata	81	tocandira
749	TAN	tocandira ant	patajah	patajah	*piata	81	tocandira
750	KUB	tocandira ant	piada	piada	*piata	81	tocandira
751	DES	tocandira ant	peda	peda	*piata	81	tocandira
752	BAS	tocandira ant	heta	heta	*piata	81	tocandira
753	TUK	tocandira ant	peta	peta	*piata	81	tocandira
754	KAR	tocandira ant	peta	peta	*piata	81	tocandira
755	WAN	tocandira ant	phita	phita	*piata	81	tocandira
756	SIO	palm-weevil	hĩko	hĩko	*pĩko	82	muxiva
757	SEK	palm-weevil	hĩko	hĩko	*pĩko	82	muxiva
758	KOR	palm-weevil	hĩʔkho	hĩʔkho	*pĩko	82	muxiva
759	MAL	palm-weevil	hɨ̃ko	hɨ̃ko	*pĩko	82	muxiva
760	TAN	palm-weevil	~piko	~piko	*pĩko	82	muxiva
761	KUB	palm-weevil	~piko	~piko	*pĩko	82	muxiva
762	DES	palm-weevil	~pigu	~pigu	*pĩko	82	muxiva
763	BAS	palm-weevil	~hiko	~hiko	*pĩko	82	muxiva
764	TUK	palm-weevil	~piko	~piko	*pĩko	82	muxiva
765	WAN	palm-weevil	~ phit∫o	~_phit∫o	*pĩko	82	muxiva
766	SIO	handpalm	ɨ̃tɨ	ɨ̃tɨ	*pɨtɨ	83	palma da mão
767	SEK	handpalm	hɨ̃tɨ	hɨ̃tɨ	*pɨtɨ	83	palma da mão
768	KOR	handpalm	hɨ̃thɨ	hɨ̃thɨ	*pɨtɨ	83	palma da mão
769	MAL	handpalm	hɨ̃tɨ	hɨ̃tɨ	*pɨtɨ	83	palma da mão
770	TAN	handpalm	pita	pita	*pɨtɨ	83	palma da mão
771	KUB	handpalm	pɨdɨ	pɨdɨ	*pɨtɨ	83	palma da mão
772	TAN	thorn	ɸota	ɸota	*pota	84	espinho
773	DES	thorn	poda	poda	*pota	84	espinho
774	BAS	thorn	hota	hota	*pota	84	espinho
775	TUK	thorn	pota	pota	*pota	84	espinho
776	KAR	thorn	pota	pota	*pota	84	espinho
777	WAN	thorn	phota	phota	*pota	84	espinho
778	SIO	blow	hu-i	hu+i	*pu-	85	assoprar
779	SEK	blow	hu	hu	*pu-	85	assoprar
780	KOR	blow	hu-i	hu+i	*pu-	85	assoprar
781	MAL	blow	hú-i	hú+i	*pu-	85	assoprar
782	KUB	blow	pu	pu	*pu-	85	assoprar
783	DES	blow	pudi	pudi	*pu-	85	assoprar
784	BAS	blow	huti	huti	*pu-	85	assoprar
785	TUK	blow	puti	puti	*pu-	85	assoprar
786	KAR	blow	puti	puti	*pu-	85	assoprar
787	WAN	blow	puti	puti	*pu-	85	assoprar
788	SIO	paca	seme	seme	*seme	86	paca
789	SEK	paca	seme	seme	*seme	86	paca
790	KOR	paca	seme	seme	*seme	86	paca
791	MAL	paca	seme	seme	*seme	86	paca
792	TAN	paca	~hebe	~hebe	*seme	86	paca
793	KUB	paca	~hebe	~hebe	*seme	86	paca
794	DES	paca	~sebe	~sebe	*seme	86	paca
795	BAS	paca	~cebe	~cebe	*seme	86	paca
796	TUK	paca	~sebe	~sebe	*seme	86	paca
797	KAR	paca	~hebe	~hebe	*seme	86	paca
798	WAN	paca	~saba	~saba	*seme	86	paca
799	KUB	rub	hĩhũ	hĩhũ	*sĩkʔe	87	esfregar
800	BAS	rub	~cige	~cige	*sĩkʔe	87	esfregar
801	TUK	rub	~saʔke	~saʔke	*sĩkʔe	87	esfregar
802	KAR	rub	~hike	~hike	*sĩkʔe	87	esfregar
803	WAN	rub	thu saʔka	thu_saʔka	*sĩkʔe	87	esfregar
804	SIO	monkey sp.	sisi	sisi	*sisi	88	macaco
805	KOR	monkey sp.	sisikoʔroro	sisikoʔroro	*sisi	88	macaco
806	MAL	monkey sp.	t∫it∫i	t∫it∫i	*sisi	88	macaco
807	KUB	monkey sp.	hihijo	hihijo	*sisi	88	macaco
808	BAS	monkey sp.	icikamu	icikamu	*sisi	88	macaco
809	KAR	monkey sp.	~sii	~sii	*sisi	88	macaco
810	WAN	monkey sp.	~bede- ~iʔsi	~bede+_~iʔsi	*sisi	88	macaco
811	SIO	to smoke meat	sẽjo	sẽjo	*sɨʔjo	89	moquear
812	SEK	to smoke meat	sɨjo	sɨjo	*sɨʔjo	89	moquear
813	KOR	to smoke meat	sɨjo	sɨjo	*sɨʔjo	89	moquear
814	MAL	to smoke meat	sɨjo	sɨjo	*sɨʔjo	89	moquear
815	KUE	to smoke meat	ãsɨ	ãsɨ	*sɨʔjo	89	moquear
816	KUB	to smoke meat	hɨjowa	hɨjowa	*sɨʔjo	89	moquear
817	DES	to smoke meat	siju	siju	*sɨʔjo	89	moquear
818	BAS	to smoke meat	ceco	ceco	*sɨʔjo	89	moquear
819	TUK	to smoke meat	sɨʔso	sɨʔso	*sɨʔjo	89	moquear
820	KAR	to smoke meat	siso	siso	*sɨʔjo	89	moquear
821	WAN	to smoke meat	sɨso	sɨso	*sɨʔjo	89	moquear
822	KOR	back	sõkhɨ	sõkhɨ	*sõkɨ	90	costas
823	DES	back	~sugu	~sugu	*sõkɨ	90	costas
824	TUK	back	~suku	~suku	*sõkɨ	90	costas
825	KAR	back	~hokɨ	~hokɨ	*sõkɨ	90	costas
826	WAN	back	~suku	~suku	*sõkɨ	90	costas
827	SIO	pot	soto	soto	*sot-	91	pote
828	SEK	pot	soto	soto	*sot-	91	pote
829	KOR	pot	thotho	thotho	*sot-	91	pote
830	MAL	pot	toto	toto	*sot-	91	pote
831	TAN	pot	hoto	hoto	*sot-	91	pote
832	KUB	pot	hodo	hodo	*sot-	91	pote
833	DES	pot	sodo	sodo	*sot-	91	pote
834	BAS	pot	cotɨ	cotɨ	*sot-	91	pote
835	TUK	pot	sɨtɨ	sɨtɨ	*sot-	91	pote
836	KAR	pot	hotɨ	hotɨ	*sot-	91	pote
837	WAN	pot	situ	situ	*sot-	91	pote
838	TAN	red	~hua	~hua	*sõʔa	92	vermelho
839	KUB	red	~hua	~hua	*sõʔa	92	vermelho
840	BAS	red	~cua	~cua	*sõʔa	92	vermelho
841	TUK	red	~soʔa	~soʔa	*sõʔa	92	vermelho
842	KAR	red	hõa	hõa	*sõʔa	92	vermelho
843	WAN	red	~soʔa	~soʔa	*sõʔa	92	vermelho
844	TAN	root	~riko	~riko	*tʔɨ̃kʔo	93	raiz
845	KUB	root	~dɨo	~dɨo	*tʔɨ̃kʔo	93	raiz
846	DES	root	~dugu	~dugu	*tʔɨ̃kʔo	93	raiz
847	TUK	root	~dɨʔko	~dɨʔko	*tʔɨ̃kʔo	93	raiz
848	KAR	root	~dɨʔko	~dɨʔko	*tʔɨ̃kʔo	93	raiz
849	WAN	root	~dɨʔko	~dɨʔko	*tʔɨ̃kʔo	93	raiz
850	SIO	heavy	dɨkɨ	dɨkɨ	*tʔɨkkɨ	94	pesado
851	SEK	heavy	dɨkɨ	dɨkɨ	*tʔɨkkɨ	94	pesado
